Name,Position,Duration,Game,Tournament,Match Date,Stage,Umpire 1,Third Umpire,Instant Replay Official,Umpire 2,Camera Angle,Year,Search Event,Club,Chukka,Shot At Goal,Shot At Goal Outcome,General Field Area,Location,Player,Team,Set Play,Throw-in Outcome,Chukka Length,Assist Outcome,Assist,Knock-in Player 2,Penalty Block,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Goal,Penalties,Penalty Outcome,Highlight Reel
Shot At Goal,132300,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,Shot At Goal,Wide,Attacking 60,78;54,Benjamin Avendano,Patagones,,,,,,,,,,,,,,,,
Throw-in,139866,20000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,Santi Toccalino,Patagones,Throw-in,Patagones win throw-in,,,,,,,,,,,,,,
Chukka Length,143700,692283,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,,Team,,,Chukka Length,,,,,,,,,,,,,
Assist,148900,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,Santiago Wulff,Patagones,,,,Unsuccessful,Santiago Wulff,,,,,,,,,,,
Knock In,178900,40000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,Miguel Novillo Astrada,Coca-Cola,Knock In,,,,,Sugar Erskine,,,,,,,,,,
Free Hit,251166,20000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,Santi Toccalino,Patagones,Free Hit,,,,,,,,,,,,,,,
Shot At Goal (1),260300,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,Shot At Goal,Blocked,Attacking 60,69;51,Miguel Novillo Astrada,Coca-Cola,,,,,,,,,,,,,,,,
Shot Block,288166,10000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,Santiago Wulff,Patagones,,,,,,,Shot Block,,,,,,,,,
Foul,303100,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,Attacking Half,62;77,Santi Toccalino,Patagones,,,,,,,,Foul,Riding Into Shot,Penalty 5,30;65,113;90,,,,
Foul Received,303100,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,Defending Half,90;218,Sugar Erskine,Coca-Cola,,,,,,,,Foul Received,Riding Into Shot,Penalty 5,,,,,,
Penalty 5,439866,30000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,Miguel Novillo Astrada,Coca-Cola,Penalty 5,,,,,,,,,,,,,,,
Shot At Goal (2),480200,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,Shot At Goal,Goal,Attacking 30,64;18,Sugar Erskine,Coca-Cola,,,,,,,,,,,,,,,,
Goal Coca-Cola,481366,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,Attacking 30,80;7,Sugar Erskine,Coca-Cola,,,,,,,,,,,,,Goal Coca-Cola,,,
Assist (1),496733,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,Gillian Johnston,Coca-Cola,,,,Successful,Gillian Johnston,,,,,,,,,,,
Throw-in (1),554433,20000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,Will Johnston,Coca-Cola,Throw-in,Coca-Cola win throw-in,,,,,,,,,,,,,,
Foul Received (1),581233,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,Attacking Half,79;117,Miguel Novillo Astrada,Coca-Cola,,,,,,,,Foul Received,Dangerous Riding,Penalty 40 yards,,,,,,
Foul (1),581233,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,Defending Half,63;175,Santiago Wulff,Patagones,,,,,,,,Foul,Dangerous Riding,Penalty 40 yards,114;206,34;207,,,,
Penalty 40 yards,657233,15000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,Miguel Novillo Astrada,Coca-Cola,,,,,,,,,,,,,,Penalty 40 yards,Wide,
Knock In (1),680666,40000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,Santi Toccalino,Patagones,Knock In,,,,,Santiago Wulff,,,,,,,,,,
Shot At Goal (3),687400,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,Shot At Goal,Post,Attacking 30,91;29,Joaquin Avendano,Patagones,,,,,,,,,,,,,,,,
Shot At Goal (4),690066,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,Shot At Goal,Goal,Attacking 30,80;12,Santi Toccalino,Patagones,,,,,,,,,,,,,,,,
Goal Patagones,690500,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,Attacking 30,76;7,Santi Toccalino,Patagones,,,,,,,,,,,,,Goal Patagones,,,
Shot At Goal (5),771033,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,Shot At Goal,Goal,Attacking 30,71;17,Will Johnston,Coca-Cola,,,,,,,,,,,,,,,,
Goal Coca-Cola (1),771933,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,Attacking 30,78;7,Will Johnston,Coca-Cola,,,,,,,,,,,,,Goal Coca-Cola,,,
Throw-in (2),776066,20000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,Sugar Erskine,Coca-Cola,Throw-in,Coca-Cola win throw-in,,,,,,,,,,,,,,
Assist (2),788400,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 1,,,,,Miguel Novillo Astrada,Coca-Cola,,,,Successful,Miguel Novillo Astrada,,,,,,,,,,,
Throw-in (3),996566,20000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,,,Santiago Wulff,Patagones,Throw-in,Patagones win throw-in,,,,,,,,,,,,,,
Chukka Length (1),1001000,704566,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,,,,Team,,,Chukka Length,,,,,,,,,,,,,
Foul Received (2),1014700,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,Attacking 60,47;48,Benjamin Avendano,Patagones,,,,,,,,Foul Received,Blocking,Penalty 30 yards,,,,,,
Foul (2),1014700,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,Defending 60,94;249,Miguel Novillo Astrada,Coca-Cola,,,,,,,,Foul,Blocking,Penalty 30 yards,71;231,137;197,,,,
Goal Patagones (1),1042433,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,,,Santi Toccalino,Patagones,,,,,,,,,,,,,Goal Patagones,,,
Penalty 30 yards,1061033,15000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,,,Santi Toccalino,Patagones,,,,,,,,,,,,,,Penalty 30 yards,Goal,
Throw-in (4),1098766,20000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,,,Benjamin Avendano,Patagones,Throw-in,Patagones win throw-in,,,,,,,,,,,,,,
Yellow Card,1130933,10000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,Attacking 60,104;48,Joaquin Avendano,Patagones,,,,,,,,Yellow Card,Technical,Penalty 5B,,,,,,
Penalty 5b,1187400,30000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,,,Miguel Novillo Astrada,Coca-Cola,Penalty 5b,,,,,,,,,,,,,,,
Shot At Goal (6),1229833,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,Shot At Goal,Goal,Attacking 30,60;13,Sugar Erskine,Coca-Cola,,,,,,,,,,,,,,,,
Goal Coca-Cola (2),1230866,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,Attacking 30,73;6,Sugar Erskine,Coca-Cola,,,,,,,,,,,,,Goal Coca-Cola,,,
Non Call,1237966,20000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,,,,Team,,,,,,,,Non Call,Right of Way,,,,,,,
Throw-in (5),1292433,20000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,,,Will Johnston,Coca-Cola,Throw-in,Coca-Cola win throw-in,,,,,,,,,,,,,,
Foul (3),1321633,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,Attacking Half,29;106,Miguel Novillo Astrada,Coca-Cola,,,,,,,,Foul,Uneven Ride-Off,Penalty 5,43;112,112;94,,,,
Foul Received (3),1321633,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,Defending Half,105;184,Santiago Wulff,Patagones,,,,,,,,Foul Received,Uneven Ride-Off,Penalty 5,,,,,,
Penalty 5 (1),1363466,30000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,,,Santiago Wulff,Patagones,Penalty 5,,,,,,,,,,,,,,,
Foul Received (4),1367933,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,Attacking 60,57;44,Santiago Wulff,Patagones,,,,,,,,Foul Received,Crossing,Penalty 30 yards,,,,,,
Foul (4),1367933,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,Defending 60,93;257,Will Johnston,Coca-Cola,,,,,,,,Foul,Crossing,Penalty 30 yards,111;208,17;181,,,,
Goal Patagones (2),1400800,35000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,,,Santi Toccalino,Patagones,,,,,,,,,,,,,Goal Patagones,,,
Penalty 30 yards (1),1419233,15000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,,,Santi Toccalino,Patagones,,,,,,,,,,,,,,Penalty 30 yards,Goal,
Throw-in (6),1453566,20000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,,,Santi Toccalino,Patagones,Throw-in,Patagones win throw-in,,,,,,,,,,,,,,
Foul Received (5),1463666,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,Defending Half,55;211,Miguel Novillo Astrada,Coca-Cola,,,,,,,,Foul Received,Near Side,Penalty 5,,,,,,
Foul (5),1463666,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,Attacking Half,86;97,Santiago Wulff,Patagones,,,,,,,,Foul,Near Side,Penalty 5,56;111,120;95,,,,
Penalty 5 (2),1502300,30000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,,,Miguel Novillo Astrada,Coca-Cola,Penalty 5,,,,,,,,,,,,,,,
Foul (6),1594533,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,Attacking 60,125;61,Santi Toccalino,Patagones,,,,,,,,Foul,Right of Way,Penalty 5,62;47,145;56,,,,
Foul Received (6),1594533,25000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,Defending 60,16;239,Will Johnston,Coca-Cola,,,,,,,,Foul Received,Right of Way,Penalty 5,,,,,,
Penalty 5 (3),1632166,30000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 2,,,,,Miguel Novillo Astrada,Coca-Cola,Penalty 5,,,,,,,,,,,,,,,
Chukka Length (2),2033833,555933,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 3,,,,,,Team,,,Chukka Length,,,,,,,,,,,,,
Penalty 5b (1),2037233,30000,Coca-Cola vs Patagones,Ylvisaker Cup,January 29. 2020,Semi-Final,Julian Appleby,Ronnie Hayes,Darrell Schwetz,Kimo Huddleston,Live,2020,Search Livestream,International Polo Club,Chukka 3,,,,,Miguel Novillo Astrada,Coca-Cola,Penalty 5b,,,,,,,,,,,,,,,
