Name,Position,Duration,Chukka,Team,Player,Foul,Foul Outcome,Foul Type,Umpire Focal,Umpire Trailing,Location,General Field Area,Goal,Set Play,Throw-in Outcome,Tournament,Country,Umpire 2,Umpire 1,Search Event,Club,Stage,Match Date,Game,Instant Replay Official,Camera Angle,Third Umpire,Tournament Handicap,Penalties,Year,Penalty Outcome,Shot At Goal,Shot At Goal Outcome,Knock-in Player 2,Penalty Block,Assist,Assist Outcome,Highlight Reel,Collision
Throw-in,393000,20000,Chukka 1,Palm Beach Equine,Gringo Colombres,,,,,,,,,Throw-in,Palm Beach Equine win throw-in,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Knock In,438133,40000,Chukka 1,Palm Beach Equine,Gringo Colombres,,,,,,,,,Knock In,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Non Call,444400,20000,Chukka 1,Team,,Non Call,,Riding Into Shot,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul Received,493533,25000,Chukka 1,Palm Beach Equine,Robbie Bilbao,Foul Received,Penalty 5,Reaching,,,82;277,Defending 30,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul,493533,25000,Chukka 1,Tamera,Lucas Escobar,Foul,Penalty 5,Reaching,30;72,73;101,69;18,Attacking 30,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Penalty 5,532833,30000,Chukka 1,Palm Beach Equine,Gringo Colombres,,,,,,,,,Penalty 5,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul (1),563933,25000,Chukka 1,Palm Beach Equine,Gringo Colombres,Foul,Penalty 60 yards,Right of Way,82;170,52;195,46;174,Defending Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul Received (1),563933,25000,Chukka 1,Tamera,Diego Cavanagh,Foul Received,Penalty 60 yards,Right of Way,,,107;124,Attacking Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Penalty 60 yards,649600,15000,Chukka 1,Tamera,Diego Cavanagh,,,,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,Penalty 60 yards,2021,Blocked,,,,,,,,
Penalty Block,658233,10000,Chukka 1,Palm Beach Equine,Gringo Colombres,,,,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,Penalty Block,,,,
Foul Received (2),704833,25000,Chukka 1,Palm Beach Equine,Costi Caset,Foul Received,Penalty 5,Right of Way,,,145;88,Attacking Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul (2),704833,25000,Chukka 1,Tamera,Diego Cavanagh,Foul,Penalty 5,Right of Way,6;221,50;253,5;212,Defending Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Penalty 5 (1),784416,30000,Chukka 1,Palm Beach Equine,Gringo Colombres,,,,,,,,,Penalty 5,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul Received (3),809000,25000,Chukka 1,Palm Beach Equine,Gringo Colombres,Foul Received,Penalty 60 yards,Reaching,,,35;85,Attacking Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul (3),809000,25000,Chukka 1,Tamera,Alejandro Poma,Foul,Penalty 60 yards,Reaching,3;216,49;242,111;220,Defending Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Free Hit,809866,20000,Chukka 1,Palm Beach Equine,Gringo Colombres,,,,,,,,,Free Hit,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Penalty 60 yards (1),902561,15000,Chukka 1,Palm Beach Equine,Gringo Colombres,,,,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,Penalty 60 yards,2021,Wide,,,,,,,,
Knock In (1),921800,40000,Chukka 1,Tamera,Luis Escobar,,,,,,,,,Knock In,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,Diego Cavanagh,,,,,
Shot At Goal,946133,35000,Chukka 1,Tamera,Diego Cavanagh,,,,,,71;25,Attacking 30,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,Shot At Goal,Goal,,,,,,
Goal Tamera,946800,35000,Chukka 1,Tamera,Diego Cavanagh,,,,,,78;1,Attacking 30,Goal Tamera,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Shot At Goal (1),990900,35000,Chukka 1,Tamera,Alejandro Poma,,,,,,73;49,Attacking 60,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,Shot At Goal,Miss Hit,,,,,,
Throw-in (1),1004266,20000,Chukka 1,Palm Beach Equine,Gringo Colombres,,,,,,,,,Throw-in,Palm Beach Equine win throw-in,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Assist,1005900,25000,Chukka 1,Palm Beach Equine,Gringo Colombres,,,,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,Gringo Colombres,Unsuccessful,,
Non Call (1),1029733,20000,Chukka 1,Team,,Non Call,,Right of Way,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul Received (4),1037266,25000,Chukka 1,Palm Beach Equine,Gringo Colombres,Foul Received,Penalty 60 yards,Blocking,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul (4),1037266,25000,Chukka 1,Tamera,Diego Cavanagh,Foul,Penalty 60 yards,Blocking,101;117,114;101,38;81,Attacking Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Penalty 60 yards (2),1116300,15000,Chukka 1,Palm Beach Equine,Gringo Colombres,,,,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,Penalty 60 yards,2021,Wide,,,,,,,,
Knock In (2),1136133,40000,Chukka 1,Tamera,Luis Escobar,,,,,,,,,Knock In,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Collision,1147666,15000,Chukka 1,Palm Beach Equine,Costi Caset,,,,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,Collision
Throw-in (2),1289014,20000,Chukka 1,Palm Beach Equine,Gringo Colombres,,,,,,,,,Throw-in,Palm Beach Equine win throw-in,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Knock In (3),1500166,40000,Chukka 2,Tamera,Luis Escobar,,,,,,,,,Knock In,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,Diego Cavanagh,,,,,
Foul Received (5),1524966,25000,Chukka 2,Palm Beach Equine,Gringo Colombres,Foul Received,Penalty 5,Right of Way,,,35;286,Defending 30,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul (5),1524966,25000,Chukka 2,Tamera,Alejandro Poma,Foul,Penalty 5,Right of Way,139;25,98;51,109;9,Attacking 30,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Penalty 5 (2),1557000,30000,Chukka 2,Palm Beach Equine,Gringo Colombres,,,,,,,,,Penalty 5,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul Received (6),1570266,25000,Chukka 2,Palm Beach Equine,Gringo Colombres,Foul Received,Penalty 5,Riding Into Shot,,,21;208,Defending Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Foul (6),1570266,25000,Chukka 2,Tamera,Lucas Escobar,Foul,Penalty 5,Riding Into Shot,146;88,97;54,129;90,Attacking Half,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Shot At Goal (2),1609833,35000,Chukka 2,Palm Beach Equine,Costi Caset,,,,,,89;66,Attacking 60,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,Shot At Goal,Wide,,,,,,
Penalty 5 (3),1621533,30000,Chukka 2,Palm Beach Equine,Gringo Colombres,,,,,,,,,Penalty 5,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Assist (1),1627433,25000,Chukka 2,Palm Beach Equine,Gringo Colombres,,,,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,Gringo Colombres,Unsuccessful,,
Shot At Goal (3),1654900,35000,Chukka 2,Tamera,Lucas Escobar,,,,,,86;25,Attacking 30,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,Shot At Goal,Goal,,,,,,
Knock In (4),1656033,40000,Chukka 2,Tamera,Luis Escobar,,,,,,,,,Knock In,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,Alejandro Poma,,,,,
Goal Tamera (1),1656833,35000,Chukka 2,Tamera,Lucas Escobar,,,,,,76;1,Attacking 30,Goal Tamera,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
Assist (2),1673066,25000,Chukka 2,Tamera,Alejandro Poma,,,,,,,,,,,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,Alejandro Poma,Successful,,
Throw-in (3),1711600,20000,Chukka 2,Tamera,Luis Escobar,,,,,,,,,Throw-in,Tamera win throw-in,Ylvisaker Cup,USA,Jamie Mirikitani,Martin Pasqual,Search Livestream,International Polo Club Palm Beach,Group,January 21 2021,Tamera vs Palm Beach Equine,Unknown,Live,Julian Appleby,18,,2021,,,,,,,,,
