Name,Position,Duration,Camera Angle,Club,Instant Replay Official,Tournament,Year,Chukka,Third Umpire,Umpire 2,Umpire 1,Search Event,Game,Match Date,Stage,Set Play,Throw-in Outcome,Player,Team,Chukka Length,Foul,Foul Type,Shot At Goal,Shot At Goal Outcome,Location,General Field Area,Goal,Assist Outcome,Assist,Knock-in Player 2,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Highlight Reel,Penalty Block,Collision
Throw-in,981633,20000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Throw-in,Daily Racing Form win throw-in,Agustin Obregon,Daily Racing Form,,,,,,,,,,,,,,,,,,,
Chukka Length,981633,533494,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,,Team,Chukka Length,,,,,,,,,,,,,,,,,,
Game Length,981633,6767933,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,,Team,Game Length,,,,,,,,,,,,,,,,,,
Non Call,998400,20000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,,Team,,Non Call,Right of Way,,,,,,,,,,,,,,,,
Shot At Goal,1077133,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Valerio Zubiaurre,Postage Stamp Farm,,,,Shot At Goal,Goal,82;20,Attacking 30,,,,,,,,,,,,
Goal Postage Stamp Farm,1078800,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Valerio Zubiaurre,Postage Stamp Farm,,,,,,73;4,Attacking 30,Goal Postage Stamp Farm,,,,,,,,,,,
Assist,1095000,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Mariano Gonzalez Jr.,Postage Stamp Farm,,,,,,,,,Successful,Mariano Gonzalez Jr.,,,,,,,,,
Throw-in (1),1155833,20000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Throw-in,Postage Stamp Farm win throw-in,Felipe Tro,Postage Stamp Farm,,,,,,,,,,,,,,,,,,,
Shot At Goal (1),1162166,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Agustin Obregon,Daily Racing Form,,,,Shot At Goal,Wide,7;104,Attacking Half,,,,,,,,,,,,
Knock In,1213566,40000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Knock In,,Mariano Gonzalez Jr.,Postage Stamp Farm,,,,,,,,,,,Mariano Aguerre,,,,,,,,
Shot At Goal (2),1245333,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Costi Caset,Daily Racing Form,,,,Shot At Goal,Goal,80;27,Attacking 30,,,,,,,,,,,,
Goal Daily Racing Form,1246133,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Costi Caset,Daily Racing Form,,,,,,82;6,Attacking 30,Goal Daily Racing Form,,,,,,,,,,,
Assist (1),1261533,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Agustin Obregon,Daily Racing Form,,,,,,,,,Successful,Agustin Obregon,,,,,,,,,
Throw-in (2),1306533,20000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Throw-in,Postage Stamp Farm win throw-in,Mariano Gonzalez Jr.,Postage Stamp Farm,,,,,,,,,,,,,,,,,,,
Foul,1314266,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Agustin Obregon,Daily Racing Form,,Foul,Dangerous Use of Mallet,,,117;202,Defending Half,,,,,Penalty 60 yards,9;186,45;195,,,,,
Foul Received,1314266,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Mariano Aguerre,Postage Stamp Farm,,Foul Received,Dangerous Use of Mallet,,,21;94,Attacking Half,,,,,Penalty 60 yards,,,,,,,
Penalty 60 yards,1389533,15000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Mariano Gonzalez Jr.,Postage Stamp Farm,,,,,,,,,,,,,,,Penalty 60 yards,Wide,,,
Knock In (1),1413800,40000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Knock In,,Tomas Collingwood,Daily Racing Form,,,,,,,,,,,Jared Zenni,,,,,,,,
Shot At Goal (3),1420733,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Agustin Obregon,Daily Racing Form,,,,Shot At Goal,Wide,88;76,Attacking Half,,,,,,,,,,,,
Knock In (2),1469366,40000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Knock In,,Mariano Gonzalez Jr.,Postage Stamp Farm,,,,,,,,,,,Valerio Zubiaurre,,,,,,,,
Shot At Goal (4),1472533,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Agustin Obregon,Daily Racing Form,,,,Shot At Goal,Goal,83;17,Attacking 30,,,,,,,,,,,,
Goal Daily Racing Form (1),1474200,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Agustin Obregon,Daily Racing Form,,,,,,83;7,Attacking 30,Goal Daily Racing Form,,,,,,,,,Goals,,
Non Call (1),1478633,20000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 1,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,,Team,,Non Call,Right of Way,,,,,,,,,,,,,,,,
Throw-in (3),1690333,20000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Throw-in,Postage Stamp Farm win throw-in,Valerio Zubiaurre,Postage Stamp Farm,,,,,,,,,,,,,,,,,,,
Chukka Length (1),1690333,757133,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,,Team,Chukka Length,,,,,,,,,,,,,,,,,,
Shot At Goal (5),1706966,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Mariano Gonzalez Jr.,Postage Stamp Farm,,,,Shot At Goal,Goal,81;21,Attacking 30,,,,,,,,,,,,
Goal Postage Stamp Farm (1),1707833,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Mariano Gonzalez Jr.,Postage Stamp Farm,,,,,,73;6,Attacking 30,Goal Postage Stamp Farm,,,,,,,,,,,
Assist (2),1723533,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Valerio Zubiaurre,Postage Stamp Farm,,,,,,,,,Successful,Valerio Zubiaurre,,,,,,,,,
Throw-in (4),1770000,20000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Throw-in,Postage Stamp Farm win throw-in,Valerio Zubiaurre,Postage Stamp Farm,,,,,,,,,,,,,,,,,,,
Shot At Goal (6),1823266,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Mariano Gonzalez Jr.,Postage Stamp Farm,,,,Shot At Goal,Wide,91;81,Attacking Half,,,,,,,,,,,,
Knock In (3),1874900,40000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Knock In,,Tomas Collingwood,Daily Racing Form,,,,,,,,,,,Agustin Obregon,,,,,,,,
Foul (1),1884400,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Agustin Obregon,Daily Racing Form,,Foul,Near Side,,,7;244,Defending 60,,,,,Penalty 60 yards,7;243,71;244,,,,,
Foul Received (1),1884400,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Mariano Aguerre,Postage Stamp Farm,,Foul Received,Near Side,,,10;54,Attacking 60,,,,,Penalty 60 yards,,,,,,,
Penalty 60 yards (1),1979535,15000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Mariano Gonzalez Jr.,Postage Stamp Farm,,,,,,,,,,,,,,,Penalty 60 yards,Wide,,,
Knock In (4),2003766,40000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Knock In,,Tomas Collingwood,Daily Racing Form,,,,,,,,,,,Agustin Obregon,,,,,,,,
Foul (2),2055566,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Jared Zenni,Daily Racing Form,,Foul,Right of Way,,,78;122,Attacking Half,,,,,Penalty 5,135;136,59;133,,,,,
Foul Received (2),2055566,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Mariano Aguerre,Postage Stamp Farm,,Foul Received,Right of Way,,,67;181,Defending Half,,,,,Penalty 5,,,,,,,
Penalty 5,2128266,30000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Penalty 5,,Valerio Zubiaurre,Postage Stamp Farm,,,,,,,,,,,,,,,,,,,
Foul Received (3),2129933,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Jared Zenni,Daily Racing Form,,Foul Received,Riding Into Shot,,,115;213,Defending Half,,,,,Penalty 5B,,,,,,,
Foul (3),2129933,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Felipe Tro,Postage Stamp Farm,,Foul,Riding Into Shot,,,26;86,Attacking Half,,,,,Penalty 5B,13;131,74;109,,,,,
Penalty 5b,2234666,30000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Penalty 5b,,Tomas Collingwood,Daily Racing Form,,,,,,,,,,,,,,,,,,,
Shot At Goal (7),2235400,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Valerio Zubiaurre,Postage Stamp Farm,,,,Shot At Goal,Wide,95;58,Attacking 60,,,,,,,,,,,,
Knock In (5),2286666,40000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Knock In,,Jared Zenni,Daily Racing Form,,,,,,,,,,,,,,,,,,,
Foul Received (4),2291400,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Agustin Obregon,Daily Racing Form,,Foul Received,Blocking,,,8;247,Defending 60,,,,,Penalty 5,,,,,,,
Foul (4),2291400,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Valerio Zubiaurre,Postage Stamp Farm,,Foul,Blocking,,,136;51,Attacking 60,,,,,Penalty 5,57;57,125;45,,,,,
Shot At Goal (8),2331633,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Felipe Tro,Postage Stamp Farm,,,,Shot At Goal,Wide,69;53,Attacking 60,,,,,,,,,,,,
Penalty 5 (1),2335300,30000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Penalty 5,,Tomas Collingwood,Daily Racing Form,,,,,,,,,,,,,,,,,,,
Assist (3),2349733,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Mariano Aguerre,Postage Stamp Farm,,,,,,,,,Unsuccessful,Mariano Aguerre,,,,,,,,,
Knock In (6),2382266,40000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,Knock In,,Tomas Collingwood,Daily Racing Form,,,,,,,,,,,Costi Caset,,,,,,,,
Foul (5),2403466,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Agustin Obregon,Daily Racing Form,,Foul,Right of Way,,,129;185,Defending Half,,,,,Penalty 60 yards,3;183,67;175,,,,,
Foul Received (5),2403466,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 2,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Mariano Aguerre,Postage Stamp Farm,,Foul Received,Right of Way,,,12;90,Attacking Half,,,,,Penalty 60 yards,,,,,,,
Penalty 60 yards (2),2654383,15000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 3,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Mariano Aguerre,Postage Stamp Farm,,,,,,,,,,,,,,,Penalty 60 yards,Blocked,,,
Chukka Length (2),2655800,829733,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 3,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,,Team,Chukka Length,,,,,,,,,,,,,,,,,,
Shot At Goal (9),2656533,35000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 3,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Jared Zenni,Daily Racing Form,,,,Shot At Goal,Short,62;44,Attacking 60,,,,,,,,,,,,
Penalty Block,2665800,10000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 3,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Jared Zenni,Daily Racing Form,,,,,,,,,,,,,,,,,,Penalty Block,
Foul (6),2702833,25000,Live,International Polo Club,Unknown,C.V. Whitney Cup,2020,Chukka 3,Unknown,Unknown,Unknown,Search Livestream,Daily Racing Form vs Postage Stamp Farm,February 09. 2020,Group,,,Costi Caset,Daily Racing Form,,Foul,Reaching,,,102;239,Defending 60,,,,,Penalty 30 yards,23;195,118;199,,,,,
