Name,Position,Duration,Third Umpire,Search Event,Camera Angle,Stage,Year,Umpire 2,Instant Replay Official,Club,Umpire 1,Game,Match Date,Set Play,Chukka,Tournament,Throw-in Outcome,Player,Team,Chukka Length,Shot At Goal,Shot At Goal Outcome,Location,General Field Area,Knock-in Player 2,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Goal,Highlight Reel,Assist Outcome,Assist,Penalties,Penalty Outcome,Penalty Block
Goal Coca-Cola (4),2408533,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Miguel Novillo Astrada,Coca-Cola,,,,,,,,,,,,Goal Coca-Cola,,,,,,
Penalty 30 yards Spot,2431108,10000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Miguel Novillo Astrada,Coca-Cola,,,,,,,,,,,,,,,,Penalty 30 yards Spot,Goal,
Throw-in (13),2466000,20000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Throw-in,Chukka 3,Ylvisaker Cup,Palm Beach Equine win throw-in,Gringo Colombres,Palm Beach Equine,,,,,,,,,,,,,,,,,,
Foul (8),2475566,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Will Johnston,Coca-Cola,,,,35;67,Attacking 60,,Foul,Reaching,Penalty 5,46;106,101;71,,,,,,,
Foul Received (8),2475566,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Scott Swerdlin,Palm Beach Equine,,,,121;216,Defending Half,,Foul Received,Reaching,Penalty 5,,,,,,,,,
Shot At Goal (16),2520833,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Lucas Diaz Alberdi,Palm Beach Equine,,Shot At Goal,Goal,69;11,Attacking 30,,,,,,,,,,,,,
Penalty 5 (2),2521800,30000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,Penalty 5,Chukka 3,Ylvisaker Cup,,Gonzalo Ferrari,Palm Beach Equine,,,,,,,,,,,,,,,,,,
Goal Palm Beach Equine (6),2522766,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Lucas Diaz Alberdi,Palm Beach Equine,,,,,,,,,,,,Goal Palm Beach Equine,,,,,,
Assist (7),2537766,25000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 3,Ylvisaker Cup,,Gonzalo Ferrari,Palm Beach Equine,,,,,,,,,,,,,,Successful,Gonzalo Ferrari,,,
Shot At Goal (17),3155300,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 4,Ylvisaker Cup,,Sugar Erskine,Coca-Cola,,Shot At Goal,Goal,77;20,Attacking 30,,,,,,,,,,,,,
Goal Coca-Cola (5),3156300,35000,Horton Schwartz,Search Livestream,Live,Group,2020,Eddy Martinez,Darrell Schwetz,International Polo Club,Kevin Fawcett,Coca-Cola vs Palm Beach Equine,January 19. 2020,,Chukka 4,Ylvisaker Cup,,Sugar Erskine,Coca-Cola,,,,,,,,,,,,Goal Coca-Cola,,,,,,
