Name,Position,Duration,Assist,Assist Outcome,Camera Angle,Chukka,Chukka Length,Club,Game,Instant Replay Official,Match Date,Player,Search Event,Stage,Team,Third Umpire,Tournament,Umpire 1,Umpire 2,Year,Collision,Foul,Foul Outcome,Foul Type,General Field Area,Location,Umpire Focal,Umpire Trailing,Goal,Highlight Reel,Knock-in Player 2,Set Play,Penalties,Penalty Outcome,Shot At Goal,Shot At Goal Outcome,Throw-in Outcome,Penalty Block
Assist,782266,25000,Santiago Toccalino,Successful,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Santiago Toccalino,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Chukka Length,469000,21100,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,,Search Livestream,Group,Team,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Chukka Length (1),610523,708083,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,,Search Live stream,Group,Team,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Collision,488600,15000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Joe Dimenna,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,Collision,,,,,,,,,,,,,,,,,
Foul,479600,25000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Joe Dimenna,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Foul,Penalty 5B,Blocking,Attacking Half,135;125,131;113,110;142,,,,,,,,,,
Foul (1),1114533,25000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Foul,Penalty 40 yards,Reaching,Defending 60,66;251,54;252,53;85,,,,,,,,,,
Foul (2),1272033,25000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Geronimo Obregon,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Foul,Penalty 5B,Right of Way,Attacking 30,56;27,32;25,66;48,,,,,,,,,,
Foul Received,479600,25000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Magoo Laprida,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Foul Received,Penalty 5B,Blocking,Defending Half,10;171,,,,,,,,,,,,
Foul Received (1),1114533,25000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Magoo Laprida,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Foul Received,Penalty 40 yards,Turning,Attacking 60,87;51,,,,,,,,,,,,
Foul Received (2),1272033,25000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Inaki Laprida,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,Foul Received,Penalty 5B,Right of Way,Defending 30,96;279,,,,,,,,,,,,
Goal Equuleus,1164966,35000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Mariano Gonzalez,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,Goal Equuleus,,,,,,,,,
Goal Patagones,767266,35000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 30,71;7,,,Goal Patagones,,,,,,,,,
Goal Patagones (1),814133,35000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 30,71;6,,,Goal Patagones,Goals,,,,,,,,
Goal Patagones (2),860966,35000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 30,72;3,,,Goal Patagones,Goals,,,,,,,,
Injury Time,493700,116823,,,Live,Chukka 1,Injury Time,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,,Search Live stream,Group,Team,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Knock In,695833,40000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Mariano Gonzalez,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,Inaki Laprida,Knock In,,,,,,
Knock In (1),764466,40000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Santiago Toccalino,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,Tomas Garcia del Rio,Knock In,,,,,,
Knock In (2),1246966,40000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,Santiago Toccalino,Knock In,,,,,,
Penalty 5b,617691,30000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Mariano Gonzalez,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Penalty 5b,,,,,,
Penalty 40 yards,1185000,15000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Mariano Gonzalez,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,,Penalty 40 yards,Goal,,,,
Shot At Goal,649133,35000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Geronimo Obregon,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 30,55;18,,,,,,,,,Shot At Goal,Wide,,
Shot At Goal (1),713266,35000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Magoo Laprida,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking Half,128;81,,,,,,,,,Shot At Goal,Wide,,
Shot At Goal (2),766000,35000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 30,71;16,,,,,,,,,Shot At Goal,Goal,,
Shot At Goal (3),804533,35000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking Half,83;122,,,,,,,,,Shot At Goal,Goal,,
Shot At Goal (4),858391,35000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 60,56;57,,,,,,,,,Shot At Goal,Goal,,
Shot At Goal (5),1201000,35000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Magoo Laprida,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,Attacking 60,89;49,,,,,,,,,Shot At Goal,Wide,,
Throw-in,469000,20000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Mariano Gonzalez,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Throw-in,,,,,Equuleus win throw-in,
Throw-in (1),825166,20000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Throw-in,,,,,Patagones win throw-in,
Throw-in (2),867892,20000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Tomas Garcia del Rio,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Throw-in,,,,,Patagones win throw-in,
Throw-in (3),1081333,20000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Santiago Toccalino,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Throw-in,,,,,Patagones win throw-in,
Throw-in (4),1215700,20000,,,Live,Chukka 1,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Magoo Laprida,Search Live stream,Group,Equuleus,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,Throw-in,,,,,Equuleus win throw-in,
Assist (1),1528033,25000,Santiago Toccalino,Unsuccessful,Live,Chukka 2,Chukka Length,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Santiago Toccalino,Search Live stream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Assist (2),1927200,25000,Santiago Toccalino,Successful,Live,Chukka 2,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Santiago Toccalino,Search Livestream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Assist (3),1977333,25000,Santiago Toccalino,Successful,Live,Chukka 2,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Santiago Toccalino,Search Livestream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
Assist (4),2019033,25000,Geronimo Obregon,Successful,Live,Chukka 2,,International Polo Club,Equuleus vs Patagones,Unknown,February 23. 2020,Geronimo Obregon,Search Livestream,Group,Patagones,Unknown,USPA Gold Cup,Unknown,Unknown,2020,,,,,,,,,,,,,,,,,,
