Name,Position,Duration,Umpire 1,Search Event,Match Date,Club,Instant Replay Official,Chukka,Year,Camera Angle,Team,Umpire 2,Tournament Handicap,Third Umpire,Goal,Tournament,Stage,Country,Game,Set Play,Throw-in Outcome,Player,Foul,Location,General Field Area,Foul Type,Foul Outcome,Penalties,Penalty Outcome,Shot At Goal,Shot At Goal Outcome,Highlight Reel,Penalty Block,Assist Outcome,Assist,Knock-in Player 2
Handicap Goal Antelope ,0,1000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Team,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",Handicap Goal Antelope ,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,,,,,,,,,,,,,,,
Throw-in,0,18069,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,Throw-in,Rancho Polo/Element 101 win throw-in,Segundo Saravi,,,,,,,,,,,,,,
Foul,12126,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Greg Hanson,Foul,137;240,Defending 60,Right of Way,Penalty 30 yards,,,,,,,,,
Foul Received,12126,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,Foul Received,9;57,Attacking 60,Right of Way,Penalty 30 yards,,,,,,,,,
Goal Antelope ,58655,35000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",Goal Antelope ,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,,75;8,Attacking 30,,,,,,,,,,,
Penalty 30 yards,76352,15000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,,,,,,Penalty 30 yards,Goal,,,,,,,
Throw-in (1),115019,20000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,Throw-in,Antelope  win throw-in,Santi Trotz,,,,,,,,,,,,,,
Non Call,123336,20000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Team,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,,Non Call,,,Right of Way,,,,,,,,,,
Foul (1),128041,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,Foul,10;176,Defending Half,Blocking,Penalty 60 yards,,,,,,,,,
Foul Received (1),128041,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,Foul Received,141;121,Attacking Half,Blocking,Penalty 60 yards,,,,,,,,,
Goal Antelope  (1),167130,35000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",Goal Antelope ,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Santi Trotz,,79;4,Attacking 30,,,,,,,,,,,
Penalty 60 yards,184327,15000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Santi Trotz,,,,,,Penalty 60 yards,Goal,,,,,,,
Shot At Goal,208805,35000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,,25;63,Attacking 60,,,,,Shot At Goal,Wide,,,,,
Throw-in (2),219657,20000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,Throw-in,Rancho Polo/Element 101 win throw-in,Torrey Ripinsky,,,,,,,,,,,,,,
Knock In,255859,40000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,Knock In,,Jason Crowder,,,,,,,,,,,,,,
Foul (2),266647,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,Foul,80;131,Attacking Half,Right of Way,Penalty 5,,,,,,,,,
Foul Received (2),266647,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Rodrigo Salinas,Foul Received,80;170,Defending Half,Right of Way,Penalty 5,,,,,,,,,
Shot At Goal (1),303366,35000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,,91;16,Attacking 30,,,,,Shot At Goal,Goal,,,,,
Goal Rancho Polo/Element 101,305335,35000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",Goal Rancho Polo/Element 101,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,,74;4,Attacking 30,,,,,,,Goals,,,,
Penalty 5,311783,30000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,Penalty 5,,Jason Crowder,,,,,,,,,,,,,,
Throw-in (3),366504,20000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,Throw-in,Rancho Polo/Element 101 win throw-in,Torrey Ripinsky,,,,,,,,,,,,,,
Foul (3),379126,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,Foul,10;172,Defending Half,Turning,Penalty 5,,,,,,,,,
Foul Received (3),379126,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Grant Palmer,Foul Received,141;130,Attacking Half,Turning,Penalty 5,,,,,,,,,
Penalty 5 (1),419957,30000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,Penalty 5,,Geoff Palmar,,,,,,,,,,,,,,
Foul (4),423603,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Rodrigo Salinas,Foul,54;270,Defending 30,Dangerous Riding,Penalty 30 yards,,,,,,,,,
Foul Received (4),423603,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,Foul Received,96;22,Attacking 30,Dangerous Riding,Penalty 30 yards,,,,,,,,,
Goal Antelope  (2),464227,35000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",Goal Antelope ,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,,78;6,Attacking 30,,,,,,,,,,,
Penalty 30 yards (1),482658,15000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,,,,,,Penalty 30 yards,Goal,,,,,,,
Throw-in (4),518489,20000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,Throw-in,Antelope  win throw-in,Santi Trotz,,,,,,,,,,,,,,
Foul Received (5),537150,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,Foul Received,54;217,Defending Half,Riding Into Shot,Penalty 5,,,,,,,,,
Foul (5),537417,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Greg Hanson,Foul,97;77,Attacking Half,Riding Into Shot,Penalty 5,,,,,,,,,
Penalty 5 (2),605309,30000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,Penalty 5,,Geoff Palmar,,94;277,Defending 30,,,,,,,,,,,
Shot At Goal (2),643639,35000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,,53;24,Attacking 30,,,,,Shot At Goal,Blocked,,,,,
Foul (6),664244,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Geoff Palmar,Foul,95;279,Defending 30,Right of Way,Penalty 30 yards,,,,,,,,,
Foul Received (6),664244,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Greg Hanson,Foul Received,57;15,Attacking 30,Right of Way,Penalty 30 yards,,,,,,,,,
Shot Block,670174,10000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Santi Trotz,,,,,,,,,,,Shot Block,,,
Goal Rancho Polo/Element 101 (1),682878,35000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",Goal Rancho Polo/Element 101,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,,71;4,Attacking 30,,,,,,,,,,,
Penalty 30 yards Spot,705976,10000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,,,,,,Penalty 30 yards Spot,Goal,,,,,,,
Throw-in (5),737708,20000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 1,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,Throw-in,Rancho Polo/Element 101 win throw-in,Jason Crowder,,,,,,,,,,,,,,
Safety 60,778854,15000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,,,,,,Safety 60,Blocked,,,,,,,
Penalty Block,784955,10000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Grant Palmer,,,,,,,,,,,Penalty Block,,,
Foul (7),793973,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,Foul,15;179,Defending Half,Right of Way,Penalty 40 yards,,,,,,,,,
Foul Received (7),793973,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Rodrigo Salinas,Foul Received,135;122,Attacking Half,Right of Way,Penalty 40 yards,,,,,,,,,
Goal Rancho Polo/Element 101 (2),858220,35000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",Goal Rancho Polo/Element 101,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,,75;7,Attacking 30,,,,,,,,,,,
Penalty 40 yards,874650,15000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,,,,,,Penalty 40 yards,Goal,,,,,,,
Non Call (1),904283,20000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Team,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,,Non Call,,,Right of Way,,,,,,,,,,
Throw-in (6),909914,20000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,Throw-in,Antelope  win throw-in,Santi Trotz,,,,,,,,,,,,,,
Foul (8),949729,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,Foul,56;211,Defending Half,Right of Way,Penalty 40 yards,,,,,,,,,
Foul Received (8),949729,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,Foul Received,61;89,Attacking Half,Right of Way,Penalty 40 yards,,,,,,,,,
Goal Rancho Polo/Element 101 (3),985848,35000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",Goal Rancho Polo/Element 101,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,,72;8,Attacking 30,,,,,,,,,,,
Penalty 40 yards (1),1003479,15000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,,,,,,Penalty 40 yards,Goal,,,,,,,
Throw-in (7),1036573,20000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,Throw-in,Antelope  win throw-in,Grant Palmer,,,,,,,,,,,,,,
Shot At Goal (3),1088550,35000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,,64;76,Attacking Half,,,,,Shot At Goal,Blocked,,,,,
Shot At Goal (4),1091453,35000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Santi Trotz,,95;79,Attacking Half,,,,,Shot At Goal,Blocked,,,,,
Shot At Goal (5),1095958,35000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Grant Palmer,,97;22,Attacking 30,,,,,Shot At Goal,Short,,,,,
Non Call (2),1097976,20000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Team,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,,Non Call,,,Right of Way,,,,,,,,,,
Assist,1104351,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Santi Trotz,,,,,,,,,,,,Unsuccessful,Santi Trotz,
Shot Block (1),1113984,10000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,,,,,,,,,,,Shot Block,,,
Shot Block (2),1119356,10000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Rodrigo Salinas,,,,,,,,,,,Shot Block,,,
Foul (9),1120533,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Rodrigo Salinas,Foul,54;276,Defending 30,Improper Procedure,Penalty 30 yards,,,,,,,,,
Foul Received (9),1120533,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Santi Trotz,Foul Received,93;25,Attacking 30,Improper Procedure,Penalty 30 yards,,,,,,,,,
Goal Antelope  (3),1159521,35000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",Goal Antelope ,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,,80;7,Attacking 30,,,,,,,,,,,
Penalty 30 yards (2),1178253,15000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,,,,,,Penalty 30 yards,Goal,,,,,,,
Foul (10),1211157,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,Foul,111;139,Attacking Half,Dangerous Use of Mallet,Penalty 5,,,,,,,,,
Foul Received (10),1211157,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Geoff Palmar,Foul Received,30;161,Defending Half,Dangerous Use of Mallet,Penalty 5,,,,,,,,,
Throw-in (8),1211949,20000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,Throw-in,Rancho Polo/Element 101 win throw-in,Torrey Ripinsky,,,,,,,,,,,,,,
Penalty 5 (3),1308111,30000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,Penalty 5,,Geoff Palmar,,,,,,,,,,,,,,
Foul (11),1373018,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Antelope,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Segundo Saravi,Foul,55;245,Defending 60,Right of Way,Penalty 30 yards,,,,,,,,,
Foul Received (11),1373018,25000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,Foul Received,90;52,Attacking 60,Right of Way,Penalty 30 yards,,,,,,,,,
Goal Rancho Polo/Element 101 (4),1411440,35000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",Goal Rancho Polo/Element 101,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,,80;6,Attacking 30,,,,,,,,,,,
Penalty 30 yards (3),1429539,15000,Martin Aguerre,Search Livestream,January 22. 2021,Eldorado Polo Club,Unknown,Chukka 2,2021,Live,Rancho Polo/Element 101,Daniel Juarez,8,"Engelberto Maldonado ""Flaco""",,USPA Coachella Valley Officers Cup,Group,USA,Antelope vs Rancho Polo/Element 101,,,Jason Crowder,,,,,,Penalty 30 yards,Goal,,,,,,,
