Name,Position,Duration,Tournament,Stage,Game,Year,Match Date,Chukka,Umpire 1,Instant Replay Official,Third Umpire,Camera Angle,Club,Set Play,Umpire 2,Search Event,Throw-in Outcome,Team,Player,Chukka Length,Shot At Goal,Location,General Field Area,Shot At Goal Outcome,Assist Outcome,Assist,Knock-in Player 2,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Goal,Penalties,Penalty Outcome,Highlight Reel,Penalty Block,Collision
Throw-in,770733,20000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Throw-in,George,Search Livestream,Daily Racing Form win throw-in,Daily Racing Form,Costi Caset,,,,,,,,,,,,,,,,,,,
Game Length,774133,6293400,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Team,,Game Length,,,,,,,,,,,,,,,,,,
Chukka Length,775566,590847,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Team,,Chukka Length,,,,,,,,,,,,,,,,,,
Shot At Goal,779600,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Agustin Obregon,,Shot At Goal,146;97,Attacking Half,Short,,,,,,,,,,,,,,
Assist,796666,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Costi Caset,,,,,,Unsuccessful,Costi Caset,,,,,,,,,,,,
Shot At Goal (1),824300,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Tommy Collingwood,,Shot At Goal,7;75,Attacking 60,Wide,,,,,,,,,,,,,,
Free Hit,846200,20000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Free Hit,George,Search Livestream,,Daily Racing Form,Tommy Collingwood,,,,,,,,,,,,,,,,,,,
Knock In,867933,40000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Knock In,George,Search Livestream,,Santa Clara,Matias Magrini,,,,,,,,Nachi Du Plessis,,,,,,,,,,,
Foul Received,915133,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Agustin Obregon,,,55;265,Defending 60,,,,,Foul Received,Turning,Penalty 5,,,,,,,,
Foul,915133,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Henry Porter,,,93;22,Attacking 30,,,,,Foul,Turning,Penalty 5,15;109,39;103,,,,,,
Penalty 5,962300,30000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Penalty 5,George,Search Livestream,,Daily Racing Form,Tommy Collingwood,,,,,,,,,,,,,,,,,,,
Shot At Goal (2),976233,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Jared Zenni,,Shot At Goal,129;99,Attacking Half,Wide,,,,,,,,,,,,,,
Assist (1),990831,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Agustin Obregon,,,,,,Unsuccessful,Agustin Obregon,,,,,,,,,,,,
Knock In (1),1030900,40000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Knock In,George,Search Livestream,,Santa Clara,Matias Magrini,,,,,,,,,,,,,,,,,,,
Foul (1),1068666,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Costi Caset,,,5;113,Attacking Half,,,,,Foul,Right of Way,Penalty 5,80;136,7;133,,,,,,
Foul Received (1),1068766,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Matias Magrini,,,146;188,Defending Half,,,,,Foul Received,Right of Way,Penalty 5,,,,,,,,
Penalty 5 (1),1112366,30000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Penalty 5,George,Search Livestream,,Santa Clara,Nachi Du Plessis,,,,,,,,,,,,,,,,,,,
Free Hit (1),1142133,20000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Free Hit,George,Search Livestream,,Daily Racing Form,Tommy Collingwood,,,,,,,,,,,,,,,,,,,
Knock In (2),1183633,40000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Knock In,George,Search Livestream,,Santa Clara,Matias Magrini,,,,,,,,,,,,,,,,,,,
Foul Received (2),1191100,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Jared Zenni,,,66;67,Attacking 60,,,,,Foul Received,Near Side,Penalty 30 yards,,,,,,,,
Foul (2),1191100,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Nachi Du Plessis,,,89;231,Defending Half,,,,,Foul,Near Side,Penalty 30 yards,41;179,141;224,,,,,,
Goal Daily Racing Form,1229633,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Jared Zenni,,,71;3,Attacking 30,,,,,,,,,,Goal Daily Racing Form,,,,,
Penalty 30 yards,1247424,15000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Jared Zenni,,,,,,,,,,,,,,,Penalty 30 yards,Goal,,,
Throw-in (1),1288600,20000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Throw-in,George,Search Livestream,Santa Clara win throw-in,Santa Clara,Henry Porter,,,,,,,,,,,,,,,,,,,
Non Call,1323933,20000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 1,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Team,,,,,,,,,,Non Call,Right of Way,,,,,,,,,
Throw-in (2),1518233,20000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Throw-in,George,Search Livestream,Santa Clara win throw-in,Santa Clara,Nachi Du Plessis,,,,,,,,,,,,,,,,,,,
Chukka Length (1),1520500,768126,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Team,,Chukka Length,,,,,,,,,,,,,,,,,,
Foul Received (3),1550500,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Jared Zenni,,,121;68,Attacking 60,,,,,Foul Received,Riding Into Shot,Penalty 30 yards,,,,,,,,
Foul (3),1550500,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Matias Magrini,,,28;239,Defending 60,,,,,Foul,Riding Into Shot,Penalty 30 yards,82;230,14;175,,,,,,
Goal Daily Racing Form (1),1609100,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Jared Zenni,,,83;3,Attacking 30,,,,,,,,,,Goal Daily Racing Form,,,,,
Penalty 30 yards (1),1625733,15000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Jared Zenni,,,,,,,,,,,,,,,Penalty 30 yards,Goal,,,
Throw-in (3),1657166,20000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Throw-in,George,Search Livestream,Daily Racing Form win throw-in,Daily Racing Form,Jared Zenni,,,,,,,,,,,,,,,,,,,
Foul Received (4),1683933,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Costi Caset,,,119;168,Defending Half,,,,,Foul Received,Dangerous Riding,Penalty 5B,,,,,,,,
Foul (4),1686033,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Nachi Du Plessis,,,47;116,Attacking Half,,,,,Foul,Dangerous Riding,Penalty 5B,121;116,10;129,,,,,,
Penalty 5b,1764200,30000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Penalty 5b,George,Search Livestream,,Daily Racing Form,Tommy Collingwood,,,,,,,,,,,,,,,,,,,
Non Call (1),1803033,20000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Team,,,,,,,,,,Non Call,Right of Way,,,,,,,,,
Free Hit (2),1803866,20000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Free Hit,George,Search Livestream,,Santa Clara,Matias Magrini,,,,,,,,,,,,,,,,,,,
Shot At Goal (3),1823633,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Agustin Obregon,,Shot At Goal,96;15,Attacking 30,Wide,,,,,,,,,,,,,,
Assist (2),1838633,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Costi Caset,,,,,,Unsuccessful,Costi Caset,,,,,,,,,,,,
Knock In (3),1893500,40000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Knock In,George,Search Livestream,,Santa Clara,Matias Magrini,,,,,,,,,,,,,,,,,,,
Foul (5),1895033,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Jared Zenni,,,144;77,Attacking Half,,,,,Foul,Riding Into Shot,Penalty 5B,142;81,63;133,,,,,,
Foul Received (5),1895033,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Nachi Du Plessis,,,15;220,Defending Half,,,,,Foul Received,Riding Into Shot,Penalty 5B,,,,,,,,
Shot At Goal (4),1956333,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Nachi Du Plessis,,Shot At Goal,89;21,Attacking 30,Miss Hit,,,,,,,,,,,,,,
Penalty 5b (1),1967866,30000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Penalty 5b,George,Search Livestream,,Santa Clara,Matias Magrini,,,,,,,,,,,,,,,,,,,
Shot At Goal (5),1981840,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Costi Caset,,Shot At Goal,90;18,Attacking 30,Goal,,,,,,,,,,,,,,
Goal Daily Racing Form (2),1982900,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Costi Caset,,,72;4,Attacking 30,,,,,,,,,,Goal Daily Racing Form,,,,,
Assist (3),1997900,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Tommy Collingwood,,,,,,Successful,Tommy Collingwood,,,,,,,,,,,,
Throw-in (4),2039933,20000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Throw-in,George,Search Livestream,Daily Racing Form win throw-in,Daily Racing Form,Costi Caset,,,,,,,,,,,,,,,,,,,
Shot At Goal (6),2052466,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Henry Porter,,Shot At Goal,80;15,Attacking 30,Goal,,,,,,,,,,,,,,
Goal Santa Clara,2053000,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Henry Porter,,,72;2,Attacking 30,,,,,,,,,,Goal Santa Clara,,,Goals,,
Non Call (2),2053933,20000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Team,,,,,,,,,,Non Call,Right of Way,,,,,,,,,
Assist (4),2068000,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Matias Magrini,,,,,,Successful,Matias Magrini,,,,,,,,,,,,
Throw-in (5),2114733,20000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,Throw-in,George,Search Livestream,Santa Clara win throw-in,Santa Clara,Henry Porter,,,,,,,,,,,,,,,,,,,
Foul (6),2141066,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Daily Racing Form,Agustin Obregon,,,113;267,Defending 60,,,,,Foul,Riding Into Shot,Penalty 30 yards,141;211,53;256,,,,,,
Foul Received (6),2141066,25000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Matias Magrini,,,41;39,Attacking 60,,,,,Foul Received,Riding Into Shot,Penalty 30 yards,,,,,,,,
Goal Santa Clara (1),2187266,35000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Nachi Du Plessis,,,75;2,Attacking 30,,,,,,,,,,Goal Santa Clara,,,,,
Penalty 30 yards (2),2205400,15000,USPA Gold Cup,Group,Daily Racing Form vs Santa Clara,2020,March 04. 2020,Chukka 2,Ronnie Hayes,Martin,Horton Schwartz,Live,International Polo Club,,George,Search Livestream,,Santa Clara,Nachi Du Plessis,,,,,,,,,,,,,,,Penalty 30 yards,Goal,,,
