Name,Position,Duration,Tournament,Match Date,Umpire 1,Game,Third Umpire,Camera Angle,Umpire 2,Club,Stage,Search Event,Instant Replay Official,Year,Chukka,Set Play,Throw-in Outcome,Player,Team,Foul,Foul Type,Chukka Length,Shot At Goal,Shot At Goal Outcome,General Field Area,Location,Goal,Highlight Reel,Foul Outcome,Umpire Focal,Umpire Trailing,Penalty Block,Penalties,Penalty Outcome,Assist Outcome,Assist,Knock-in Player 2
Shot At Goal,4745300,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,Mariano Obregon,Dutta Corp,,,,Shot At Goal,Wide,Attacking Half,67;80,,,,,,,,,,,
Throw-in,4759734,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,Throw-in,Dutta Corp win throw-in,Mariano Obregon,Dutta Corp,,,,,,,,,,,,,,,,,,
Shot At Goal (1),4783100,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,Timmy Dutta,Dutta Corp,,,,Shot At Goal,Wide,Attacking 30,96;25,,,,,,,,,,,
Knock In (1),4791900,40000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,Knock In,,Ignatius Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,
Knock In (2),4825267,40000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,Knock In,,Ignatius Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,
Shot At Goal (2),4860100,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,Timmy Dutta,Dutta Corp,,,,Shot At Goal,Deflected,Attacking 30,75;15,,,,,,,,,,,
Assist,4875679,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,Facundo Obregon,Dutta Corp,,,,,,,,,,,,,,,,Unsuccessful,Facundo Obregon,
Injury Time (1),4901107,260882,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,,Team,,,Injury Time,,,,,,,,,,,,,,,
Goal Dutta Corp,5139967,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,Mariano Obregon,Dutta Corp,,,,,,,,Goal Dutta Corp,,,,,,,,,,
Safety 60,5157200,15000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,Mariano Obregon,Dutta Corp,,,,,,,,,,,,,,Safety 60,Goal,,,
Chukka Length (6),5161990,77927,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,,Team,,,Chukka Length,,,,,,,,,,,,,,,
Shot At Goal (3),5180200,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,Timmy Dutta,Dutta Corp,,,,Shot At Goal,Goal,Attacking 30,78;12,,,,,,,,,,,
Goal Dutta Corp (1),5181534,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,,,Timmy Dutta,Dutta Corp,,,,,,,,Goal Dutta Corp,Goals,,,,,,,,,
Throw-in (1),5193318,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 5,Throw-in,Dutta Corp win throw-in,Timmy Dutta,Dutta Corp,,,,,,,,,,,,,,,,,,
Shot At Goal (4),5367367,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,Lucas Diaz Alberdi,Dutta Corp,,,,Shot At Goal,Wide,Attacking Half,138;92,,,,,,,,,,,
Throw-in (2),5380247,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,Throw-in,Dutta Corp win throw-in,Facundo Obregon,Dutta Corp,,,,,,,,,,,,,,,,,,
Chukka Length (7),5384846,309899,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,,Team,,,Chukka Length,,,,,,,,,,,,,,,
Assist (1),5386267,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,Facundo Obregon,Dutta Corp,,,,,,,,,,,,,,,,Unsuccessful,Facundo Obregon,
Knock In (3),5414217,40000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,Knock In,,Ignatius Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,
Knock In (4),5446167,40000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,Knock In,,Ignatius Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,
Foul (1),5568934,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,Mariano Obregon,Dutta Corp,Foul,Blocking,,,,Attacking Half,14;97,,,Penalty 5,4;93,71;103,,,,,,
Foul Received (1),5568934,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,Matias Magrini,Santa Clara,Foul Received,Blocking,,,,Defending Half,142;215,,,Penalty 5,,,,,,,,
Throw-in (3),5572198,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,Throw-in,Dutta Corp win throw-in,Facundo Obregon,Dutta Corp,,,,,,,,,,,,,,,,,,
Penalty 5,5610280,30000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,Penalty 5,,Ignatius Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,
Foul (2),5652434,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,Timmy Dutta,Dutta Corp,Foul,Crossing,,,,Attacking 30,135;24,,,Penalty 5,96;52,131;106,,,,,,
Foul Received (2),5652434,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,Matias Magrini,Santa Clara,Foul Received,Crossing,,,,Defending 30,21;279,,,Penalty 5,,,,,,,,
Injury Time (2),5694745,91868,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,,Team,,,Injury Time,,,,,,,,,,,,,,,
Penalty 5 (1),5782466,30000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,Penalty 5,,Ignatius Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,
Chukka Length (8),5786614,440144,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,,Team,,,Chukka Length,,,,,,,,,,,,,,,
Shot At Goal (6),5790481,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,Ignatius Du Plessis,Santa Clara,,,,Shot At Goal,Miss Hit,Attacking 30,82;24,,,,,,,,,,,
Shot At Goal (5),5791700,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,Luis Escobar,Santa Clara,,,,Shot At Goal,Wide,Attacking 30,86;26,,,,,,,,,,,
Knock In (5),5835367,40000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,Knock In,,Luis Escobar,Santa Clara,,,,,,,,,,,,,,,,,,
Foul (3),5858600,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,Timmy Dutta,Dutta Corp,Foul,Right of Way,,,,Defending Half,16;231,,,Penalty 30 yards,1;226,84;240,,,,,,
Foul Received (3),5858600,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,Ignatius Du Plessis,Santa Clara,Foul Received,Right of Way,,,,Attacking 60,139;66,,,Penalty 30 yards,,,,,,,,
Goal Santa Clara (1),5958200,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,Ignatius Du Plessis,Santa Clara,,,,,,,,Goal Santa Clara,,,,,,,,,,
Penalty 30 yards,5976300,15000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,Ignatius Du Plessis,Santa Clara,,,,,,,,,,,,,,Penalty 30 yards,Goal,,,
Penalty 5b,6036534,30000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,Penalty 5b,,Ignatius Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,
Foul (4),6097800,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,Facundo Obregon,Dutta Corp,Foul,Delay of Game,,,,Attacking 60,87;45,,,Penalty 5,106;66,27;61,,,,,,
Foul Received (4),6097800,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,Ignatius Du Plessis,Santa Clara,Foul Received,Delay of Game,,,,Defending 60,68;252,,,Penalty 5,,,,,,,,
Penalty 5 (2),6133034,30000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,Penalty 5,,Ignatius Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,
Foul (5),6167134,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,Luis Escobar,Santa Clara,Foul,Crossing,,,,Attacking Half,124;135,,,Penalty 60 yards,86;175,25;184,,,,,,
Foul Received (5),6167134,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,Timmy Dutta,Dutta Corp,Foul Received,Crossing,,,,Defending Half,43;166,,,Penalty 60 yards,,,,,,,,
Injury Time (3),6226758,130575,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,,Team,,,Injury Time,,,,,,,,,,,,,,,
Shot At Goal (7),6333434,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,Lucas Diaz Alberdi,Dutta Corp,,,,Shot At Goal,Goal,Attacking 30,73;11,,,,,,,,,,,
Goal Dutta Corp (2),6333634,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,Lucas Diaz Alberdi,Dutta Corp,,,,,,,,Goal Dutta Corp,Goals,,,,,,,,,
Penalty 60 yards,6348425,15000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,Mariano Obregon,Dutta Corp,,,,,,,,,,,,,,Penalty 60 yards,Blocked,,,
Penalty Block,6355334,10000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,Matias Magrini,Santa Clara,,,,,,,,,,,,,Penalty Block,,,,,
Chukka Length (9),6357334,58662,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,,,,Team,,,Chukka Length,,,,,,,,,,,,,,,
Throw-in (4),6385367,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 6,Throw-in,Santa Clara win throw-in,Ignatius Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,
Throw-in (5),6849067,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 7,Throw-in,Dutta Corp win throw-in,Timmy Dutta,Dutta Corp,,,,,,,,,,,,,,,,,,
Chukka Length (10),6854063,25608,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 7,,,,Team,,,Chukka Length,,,,,,,,,,,,,,,
Injury Time (4),6879672,324440,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 7,,,,Team,,,Injury Time,,,,,,,,,,,,,,,
Throw-in (6),7200400,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 7,Throw-in,Dutta Corp win throw-in,Facundo Obregon,Dutta Corp,,,,,,,,,,,,,,,,,,
Foul (6),7203867,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 7,,,Henry Porter,Santa Clara,Foul,Riding Into Shot,,,,Defending Half,138;224,,,Penalty 40 yards,54;202,143;230,,,,,,
Chukka Length (11),7204113,209283,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 7,,,,Team,,,Chukka Length,,,,,,,,,,,,,,,
Foul Received (6),7205600,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 7,,,Timmy Dutta,Dutta Corp,Foul Received,Riding Into Shot,,,,Attacking 60,9;70,,,Penalty 40 yards,,,,,,,,
Goal Dutta Corp (3),7366667,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 7,,,Facundo Obregon,Dutta Corp,,,,,,,,Goal Dutta Corp,,,,,,,,,,
Penalty 40 yards,7382567,15000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 7,,,Facundo Obregon,Dutta Corp,,,,,,,,,,,,,,Penalty 40 yards,Goal,,,
