Name,Position,Duration,Tournament,Match Date,Umpire 1,Game,Third Umpire,Camera Angle,Umpire 2,Club,Stage,Search Event,Instant Replay Official,Year,Chukka,Set Play,Throw-in Outcome,Player,Team,Foul,Foul Type,Chukka Length,Shot At Goal,Shot At Goal Outcome,General Field Area,Location,Goal,Highlight Reel,Foul Outcome,Umpire Focal,Umpire Trailing,Penalty Block,Penalties,Penalty Outcome,Assist Outcome,Assist,Knock-in Player 2
Throw-in (11),2329133,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,Throw-in,Dutta Corp win throw-in,Mariano Obregon,Dutta Corp,,,,,,,,,,,,,,,,,,
Goal Dutta Corp (3),2422300,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Mariano Obregon,Dutta Corp,,,,,,,,Goal Dutta Corp,,,,,,,,,,
Penalty 60 yards,2439389,15000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Mariano Obregon,Dutta Corp,,,,,,,,,,,,,,Penalty 60 yards,Goal,,,
Throw-in (12),2472333,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,Throw-in,Dutta Corp win throw-in,Mariano Obregon,Dutta Corp,,,,,,,,,,,,,,,,,,
Shot At Goal (14),2476333,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Luis Escobar,Santa Clara,,,,Shot At Goal,Wide,Attacking 60,49;59,,,,,,,,,,,
Assist (5),2492766,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Nachi Du Plessis,Santa Clara,,,,,,,,,,,,,,,,Unsuccessful,Nachi Du Plessis,
Knock In (3),2526966,40000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,Knock In,,Luis Escobar,Santa Clara,,,,,,,,,,,,,,,,,,
Non Call (2),2546933,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,,Team,Non Call,Riding Into Shot,,,,,,,,,,,,,,,,
Shot At Goal (15),2561300,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Henry Porter,Santa Clara,,,,Shot At Goal,Wide,Attacking 30,72;33,,,,,,,,,,,
Assist (6),2576966,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Nachi Du Plessis,Santa Clara,,,,,,,,,,,,,,,,Unsuccessful,Nachi Du Plessis,
Shot At Goal (16),2675833,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Lucas Diaz Alberdi,Dutta Corp,,,,Shot At Goal,Goal,Attacking 30,66;20,,,,,,,,,,,
Knock In (4),2676366,40000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,Knock In,,Facundo Obregon,Dutta Corp,,,,,,,,,,,,,,,,,,Lucas Diaz Alberdi
Goal Dutta Corp (4),2677233,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Lucas Diaz Alberdi,Dutta Corp,,,,,,,,Goal Dutta Corp,,,,,,,,,,
Throw-in (13),2732761,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,Throw-in,Dutta Corp win throw-in,Facundo Obregon,Dutta Corp,,,,,,,,,,,,,,,,,,
Foul (6),2734600,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Luis Escobar,Santa Clara,Foul,Riding Into Shot,,,,Defending Half,20;181,,,Penalty 60 yards,80;195,19;143,,,,,,
Foul Received (6),2734600,25000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Facundo Obregon,Dutta Corp,Foul Received,Riding Into Shot,,,,Attacking Half,127;106,,,Penalty 60 yards,,,,,,,,
Penalty 60 yards (1),2810580,15000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Facundo Obregon,Dutta Corp,,,,,,,,,,,,,,Penalty 60 yards,Short,,,
Shot At Goal (17),2822566,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Nachi Du Plessis,Santa Clara,,,,Shot At Goal,Goal,Attacking 30,72;18,,,,,,,,,,,
Goal Santa Clara (8),2823400,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 3,,,Nachi Du Plessis,Santa Clara,,,,,,,,Goal Santa Clara,,,,,,,,,,
Throw-in (14),3385300,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,Throw-in,Santa Clara win throw-in,Nachi Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,
Chukka Length (3),3388701,62679,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,,,,Team,,,Chukka Length,,,,,,,,,,,,,,,
Non Call (3),3422333,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,,,,Team,Non Call,Dangerous Use of Mallet,,,,,,,,,,,,,,,,
Injury Time,3451382,151833,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,,,,Team,,,Injury Time,,,,,,,,,,,,,,,
Shot At Goal (18),3577700,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,,,Mariano Obregon,Dutta Corp,,,,Shot At Goal,Wide,Attacking Half,91;111,,,,,,,,,,,
Throw-in (15),3598000,20000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,Throw-in,Dutta Corp win throw-in,Mariano Obregon,Dutta Corp,,,,,,,,,,,,,,,,,,
Chukka Length (4),3603216,641891,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,,,,Team,,,Chukka Length,,,,,,,,,,,,,,,
Shot At Goal (19),3617633,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,,,Facundo Obregon,Dutta Corp,,,,Shot At Goal,Goal,Attacking 30,87;36,,,,,,,,,,,
Goal Dutta Corp (5),3620966,35000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,,,Facundo Obregon,Dutta Corp,,,,,,,,Goal Dutta Corp,Goals,,,,,,,,,
Knock In (5),3623633,40000,C.V. Whitney Cup,February 14. 2020,Horton Schwartz,Dutta Corp vs Santa Clara,George Olivas,Live,Ronnie Hayes,International Polo Club,Group,Search Livestream,Kimo Huddleston,2020,Chukka 4,Knock In,,Nachi Du Plessis,Santa Clara,,,,,,,,,,,,,,,,,,
