Name,Position,Duration,Tournament,Umpire 1,Game,Umpire 2,Match Date,Stage,Instant Replay Official,Third Umpire,Chukka,Camera Angle,Year,Set Play,Search Event,Club,Throw-in Outcome,Team,Player,Shot At Goal,Shot At Goal Outcome,General Field Area,Location,Goal,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Assist Outcome,Assist,Knock-in Player 2,Highlight Reel,Chukka Length,Penalty Block,Collision
Throw-in,290366,20000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,Throw-in,Search Livestream,International Polo Club,Daily Racing Form win throw-in,Daily Racing Form,Jared Zenni,,,,,,,,,,,,,,,,,,,
Shot At Goal,326266,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Felipe Tro,Shot At Goal,Goal,Attacking 30,59;12,,,,,,,,,,,,,,,
Goal Postage Stamp Farm,328033,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Felipe Tro,,,Attacking 30,81;6,Goal Postage Stamp Farm,,,,,,,,,,,,,,
Throw-in (1),393066,20000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,Throw-in,Search Livestream,International Polo Club,Postage Stamp Farm win throw-in,Postage Stamp Farm,Mariano Aguerre,,,,,,,,,,,,,,,,,,,
Foul,430733,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Mariano Aguerre,,,Attacking Half,12;122,,Foul,Right of Way,Penalty 60 yards,24;108,125;104,,,,,,,,,
Foul Received,430733,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Agustin Obregon,,,Defending Half,138;193,,Foul Received,Right of Way,Penalty 60 yards,,,,,,,,,,,
Penalty 60 yards,503591,15000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Agustin Obregon,,,,,,,,,,,Penalty 60 yards,Short,,,,,,,
Shot At Goal (1),485600,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Tommy Collingwood,Shot At Goal,Goal,Attacking 30,68;15,,,,,,,,,,,,,,,
Goal Daily Racing Form,485600,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Tommy Collingwood,,,Attacking 30,70;7,Goal Daily Racing Form,,,,,,,,,,,,,,
Throw-in (2),548566,20000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,Throw-in,Search Livestream,International Polo Club,Daily Racing Form win throw-in,Daily Racing Form,Tommy Collingwood,,,,,,,,,,,,,,,,,,,
Foul (1),565200,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Peke Gonzalez,,,Attacking Half,68;116,,Foul,Right of Way,Penalty 60 yards,23;133,94;162,,,,,,,,,
Foul Received (1),565200,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Jared Zenni,,,Defending Half,78;177,,Foul Received,Right of Way,Penalty 60 yards,,,,,,,,,,,
Penalty 60 yards (1),662183,15000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Jared Zenni,,,,,,,,,,,Penalty 60 yards,Wide,,,,,,,
Knock In,681600,40000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,Knock In,Search Livestream,International Polo Club,,Postage Stamp Farm,Peke Gonzalez,,,,,,,,,,,,,,,,,,,
Shot At Goal (2),714466,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Peke Gonzalez,Shot At Goal,Goal,Attacking 60,79;39,,,,,,,,,,,,,,,
Goal Postage Stamp Farm (1),716600,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Peke Gonzalez,,,Attacking 30,74;6,Goal Postage Stamp Farm,,,,,,,,,,,,,,
Throw-in (3),773166,20000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,Throw-in,Search Livestream,International Polo Club,Postage Stamp Farm win throw-in,Postage Stamp Farm,Peke Gonzalez,,,,,,,,,,,,,,,,,,,
Foul (2),780533,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Jared Zenni,,,Attacking Half,32;120,,Foul,1 Meeting 2,Penalty 5,22;126,118;157,,,,,,,,,
Foul Received (2),780533,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Mariano Aguerre,,,Defending Half,24;176,,Foul Received,1 Meeting 2,Penalty 5,,,,,,,,,,,
Penalty 5,838666,30000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,Penalty 5,Search Livestream,International Polo Club,,Postage Stamp Farm,Peke Gonzalez,,,,,,,,,,,,,,,,,,,
Shot At Goal (3),845400,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Felipe Tro,Shot At Goal,Goal,Attacking 30,87;35,,,,,,,,,,,,,,,
Goal Postage Stamp Farm (2),847200,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Felipe Tro,,,Attacking 30,78;7,Goal Postage Stamp Farm,,,,,,,,,,,,,,
Assist,863166,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Lerin Zubiaurre,,,,,,,,,,,,,Successful,Lerin Zubiaurre,,,,,
Throw-in (4),1073179,20000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,Throw-in,Search Livestream,International Polo Club,Daily Racing Form win throw-in,Daily Racing Form,Jared Zenni,,,,,,,,,,,,,,,,,,,
Foul (3),1074633,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Mariano Aguerre,,,Defending Half,67;172,,Foul,Riding Into Shot,Penalty 60 yards,112;166,35;135,,,,,,,,,
Foul Received (3),1074633,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Jared Zenni,,,Attacking Half,73;129,,Foul Received,Riding Into Shot,Penalty 60 yards,,,,,,,,,,,
Penalty 60 yards (2),1154200,15000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Agustin Obregon,,,,,,,,,,,Penalty 60 yards,Goal,,,,,,,
Goal Daily Racing Form (1),1136733,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 1,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Agustin Obregon,,,Attacking 30,76;4,Goal Daily Racing Form,,,,,,,,,,,,,,
Throw-in (5),1365200,20000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,Throw-in,Search Livestream,International Polo Club,Postage Stamp Farm win throw-in,Postage Stamp Farm,Felipe Tro,,,,,,,,,,,,,,,,,,,
Foul (4),1384833,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Felipe Tro,,,Attacking Half,122;117,,Foul,Right of Way,Penalty 5,69;177,146;201,,,,,,,,,
Foul Received (4),1384833,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Tommy Collingwood,,,Defending Half,16;175,,Foul Received,Right of Way,Penalty 5,,,,,,,,,,,
Penalty 5 (1),1435833,30000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,Penalty 5,Search Livestream,International Polo Club,,Daily Racing Form,Tommy Collingwood,,,,,,,,,,,,,,,,,,,
Non Call,1447900,20000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,,Search Livestream,International Polo Club,,Team,,,,,,,Non Call,Crossing,,,,,,,,,,,,
Shot At Goal (4),1444200,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Tommy Collingwood,Shot At Goal,Wide,Attacking 30,60;4,,,,,,,,,,,,,,,
Knock In (1),1485600,40000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,Knock In,Search Livestream,International Polo Club,,Postage Stamp Farm,Peke Gonzalez,,,,,,,,,,,,,,,Mariano Aguerre,,,,
Knock In (2),1537700,40000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,Knock In,Search Livestream,International Polo Club,,Daily Racing Form,Jared Zenni,,,,,,,,,,,,,,,Costi Caset,,,,
Shot At Goal (5),1538900,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Tommy Collingwood,Shot At Goal,Wide,Attacking 30,46;13,,,,,,,,,,,,,,,
Knock In (3),1585366,40000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,Knock In,Search Livestream,International Polo Club,,Postage Stamp Farm,Peke Gonzalez,,,,,,,,,,,,,,,Mariano Aguerre,,,,
Shot At Goal (6),1587100,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Lerin Zubiaurre,Shot At Goal,Blocked,Attacking 60,78;49,,,,,,,,,,,,,,,
Foul (5),1606000,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Costi Caset,,,Defending 60,69;271,,Foul,Riding Into Shot,Penalty 30 yards,14;183,76;202,,,,,,,,,
Foul Received (5),1606000,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Lerin Zubiaurre,,,Attacking 30,79;29,,Foul Received,Riding Into Shot,Penalty 30 yards,,,,,,,,,,,
Penalty 30 yards,1668500,15000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Peke Gonzalez,,,,,,,,,,,Penalty 30 yards,Goal,,,,,,,
Goal Postage Stamp Farm (3),1649633,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Peke Gonzalez,,,Attacking 30,75;7,Goal Postage Stamp Farm,,,,,,,,,,,,,,
Throw-in (6),1707433,20000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,Throw-in,Search Livestream,International Polo Club,Daily Racing Form win throw-in,Daily Racing Form,Costi Caset,,,,,,,,,,,,,,,,,,,
Foul (6),1735866,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Mariano Aguerre,,,Attacking 60,44;66,,Foul,Turning,Penalty 5,11;162,88;122,,,,,,,,,
Foul Received (6),1735866,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,,Search Livestream,International Polo Club,,Daily Racing Form,Agustin Obregon,,,Defending Half,119;230,,Foul Received,Turning,Penalty 5,,,,,,,,,,,
Penalty 5 (2),1778600,30000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,Penalty 5,Search Livestream,International Polo Club,,Daily Racing Form,Jared Zenni,,,,,,,,,,,,,,,,,,,
Non Call (1),1784100,20000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,,Search Livestream,International Polo Club,,Team,,,,,,,Non Call,Right of Way,,,,,,,,,,,,
Shot At Goal (7),1796066,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Lerin Zubiaurre,Shot At Goal,Goal,Attacking 30,78;13,,,,,,,,,,,,,,,
Goal Postage Stamp Farm (4),1796633,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Lerin Zubiaurre,,,Attacking 30,74;3,Goal Postage Stamp Farm,,,,,,,,,,,,,,
Assist (1),1812233,25000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Peke Gonzalez,,,,,,,,,,,,,Successful,Peke Gonzalez,,,,,
Throw-in (7),1859866,20000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,Throw-in,Search Livestream,International Polo Club,Daily Racing Form win throw-in,Daily Racing Form,Jared Zenni,,,,,,,,,,,,,,,,,,,
Shot At Goal (8),1878100,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Felipe Tro,Shot At Goal,Goal,Attacking 30,53;21,,,,,,,,,,,,,,,
Goal Postage Stamp Farm (5),1880533,35000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 2,Live,2020,,Search Livestream,International Polo Club,,Postage Stamp Farm,Felipe Tro,,,Attacking 30,76;7,Goal Postage Stamp Farm,,,,,,,,,,,Goals,,,
Throw-in (8),2170000,20000,USPA Gold Cup,Unknown,Daily Racing Form vs Postage Stamp Farm,Unknown,March 09. 2020,Group,Unknown,Unknown,Chukka 3,Live,2020,Throw-in,Search Livestream,International Polo Club,Postage Stamp Farm win throw-in,Postage Stamp Farm,Felipe Tro,,,,,,,,,,,,,,,,,,,
