Name,Position,Duration,Umpire 1,Umpire 2,Stage,Match Date,Game,Tournament,Chukka,Set Play,Third Umpire,Year,Club,Search Event,Camera Angle,Instant Replay Official,Throw-in Outcome,Player,Team,Chukka Length,Shot At Goal,Shot At Goal Outcome,Location,General Field Area,Goal,Foul,Foul Type,Assist Outcome,Assist,Foul Outcome,Umpire Trailing,Umpire Focal,Penalties,Penalty Outcome,Knock-in Player 2,Penalty Block,Highlight Reel,Collision
Throw-in,480533,20000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,Throw-in,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,Patagones win throw-in,Benjamin Avendano,Patagones,,,,,,,,,,,,,,,,,,,
Game Length,484266,7056033,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,,Team,Game Length,,,,,,,,,,,,,,,,,,
Chukka Length,484933,736766,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,,Team,Chukka Length,,,,,,,,,,,,,,,,,,
Shot At Goal,509633,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Alfonso Pieres,Pilot,,Shot At Goal,Goal,69;22,Attacking 30,,,,,,,,,,,,,,
Goal Pilot,511433,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Alfonso Pieres,Pilot,,,,80;7,Attacking 30,Goal Pilot,,,,,,,,,,,,,
Throw-in (1),573600,20000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,Throw-in,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,Pilot win throw-in,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,,,,
Shot At Goal (1),599400,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Benjamin Avendano,Patagones,,Shot At Goal,Goal,65;25,Attacking 30,,,,,,,,,,,,,,
Goal Patagones,601766,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Benjamin Avendano,Patagones,,,,71;6,Attacking 30,Goal Patagones,,,,,,,,,,,,,
Non Call,614366,20000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,,Team,,,,,,,Non Call,Blocking,,,,,,,,,,,
Assist,618433,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,Successful,Tomas Garcia Del Rio,,,,,,,,,
Shot At Goal (2),647066,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Joaquin Avendano,Patagones,,Shot At Goal,Goal,86;42,Attacking 60,,,,,,,,,,,,,,
Goal Patagones (1),649666,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Joaquin Avendano,Patagones,,,,80;6,Attacking 30,Goal Patagones,,,,,,,,,,,,,
Throw-in (2),659800,20000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,Throw-in,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,Patagones win throw-in,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,,
Assist (1),665400,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,Successful,Tomas Garcia Del Rio,,,,,,,,,
Throw-in (3),708666,20000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,Throw-in,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,Pilot win throw-in,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,,,,
Foul,720200,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Lucas Escobar,Pilot,,,,146;54,Attacking 60,,Foul,Reaching,,,Penalty 5B,148;62,75;58,,,,,,
Foul Received,720200,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,6;240,Defending 60,,Foul Received,Reaching,,,Penalty 5B,,,,,,,,
Penalty 5b,810900,30000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,Penalty 5b,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,,
Foul (1),822500,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalo de la Fuente,Pilot,,,,61;275,Defending 30,,Foul,Right of Way,,,Penalty 30 yards,91;203,54;252,,,,,,
Foul Received (1),822500,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Santiago Wulff,Patagones,,,,89;25,Attacking 30,,Foul Received,Right of Way,,,Penalty 30 yards,,,,,,,,
Goal Patagones (2),827733,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,Goal Patagones,,,,,,,,,,,,,
Penalty 30 yards,846933,15000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,Penalty 30 yards,Goal,,,,
Penalty 5b (1),896900,30000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,Penalty 5b,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,,
Foul (2),909566,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,146;102,Attacking Half,,Foul,Blocking,,,Penalty 5,148;139,68;93,,,,,,
Foul Received (2),909566,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,5;208,Defending Half,,Foul Received,Blocking,,,Penalty 5,,,,,,,,
Shot At Goal (3),927100,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Alfonso Pieres,Pilot,,Shot At Goal,Post,5;53,Attacking 60,,,,,,,,,,,,,,
Penalty 5,947066,30000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,Penalty 5,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,,,,
Foul (3),977000,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,78;195,Defending Half,,Foul,Uneven Ride-Off,,,Penalty 5,124;179,64;203,,,,,,
Foul Received (3),977000,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalo de la Fuente,Pilot,,,,61;108,Attacking Half,,Foul Received,Uneven Ride-Off,,,Penalty 5,,,,,,,,
Penalty 5 (1),1039524,30000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,Penalty 5,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,,,,
Foul (4),1047300,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Santiago Wulff,Patagones,,,,84;270,Defending 30,,Foul,Dangerous Use of Mallet,,,Penalty 30 yards,94;236,70;167,,,,,,
Foul Received (4),1047300,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Alfonso Pieres,Pilot,,,,78;24,Attacking 30,,Foul Received,Dangerous Use of Mallet,,,Penalty 30 yards,,,,,,,,
Goal Pilot (1),1082800,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,,,Goal Pilot,,,,,,,,,,,,,
Penalty 30 yards (1),1100800,15000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,Penalty 30 yards,Goal,,,,
Throw-in (4),1137666,20000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 1,Throw-in,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,Pilot win throw-in,Gonzalo de la Fuente,Pilot,,,,,,,,,,,,,,,,,,,
Throw-in (5),1407966,20000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,Throw-in,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,Patagones win throw-in,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,,
Shot At Goal (4),1411400,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Alfonso Pieres,Pilot,,Shot At Goal,Wide,130;103,Attacking Half,,,,,,,,,,,,,,
Chukka Length (1),1411500,763149,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,,Team,Chukka Length,,,,,,,,,,,,,,,,,,
Knock In,1482866,40000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,Knock In,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,Santiago Wulff,,,
Shot At Goal (5),1483366,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Joaquin Avendano,Patagones,,Shot At Goal,Goal,65;45,Attacking 60,,,,,,,,,,,,,,
Goal Patagones (3),1484766,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Joaquin Avendano,Patagones,,,,82;6,Attacking 30,Goal Patagones,,,,,,,,,,,,,
Assist (2),1500233,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,Successful,Tomas Garcia Del Rio,,,,,,,,,
Shot At Goal (6),1534166,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Benjamin Avendano,Patagones,,Shot At Goal,Wide,96;104,Attacking Half,,,,,,,,,,,,,,
Throw-in (6),1542700,20000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,Throw-in,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,Patagones win throw-in,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,,
Knock In (1),1577066,40000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,Knock In,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,,,,
Foul (5),1583666,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,119;111,Attacking Half,,Foul,Dangerous Riding,,,Penalty 60 yards,128;93,51;94,,,,,,
Foul Received (5),1583666,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Alfonso Pieres,Pilot,,,,21;183,Defending Half,,Foul Received,Dangerous Riding,,,Penalty 60 yards,,,,,,,,
Penalty 60 yards,1673991,15000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,Penalty 60 yards,Blocked,,,,
Penalty Block,1681000,10000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,Penalty Block,,
Foul (6),1695600,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalo de la Fuente,Pilot,,,,129;116,Attacking Half,,Foul,Uneven Ride-Off,,,Penalty 5,113;102,22;116,,,,,,
Foul Received (6),1695600,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,13;188,Defending Half,,Foul Received,Uneven Ride-Off,,,Penalty 5,,,,,,,,
Penalty 5 (2),1736833,30000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,Penalty 5,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,,
Knock In (2),1810166,40000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,Knock In,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,Alfonso Pieres,,,
Foul (7),1874200,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Alfonso Pieres,Pilot,,,,58;158,Defending Half,,Foul,Dangerous Riding,,,Penalty 40 yards,135;129,35;167,,,,,,
Foul Received (7),1874200,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Santiago Wulff,Patagones,,,,85;133,Attacking Half,,Foul Received,Dangerous Riding,,,Penalty 40 yards,,,,,,,,
Free Hit,1874700,20000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,Free Hit,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,,,,,,
Yellow Card,1909000,10000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Alfonso Pieres,Pilot,,,,,,,Yellow Card,Dangerous Riding,,,,,,,,,,,
Goal Patagones (4),1953233,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,Goal Patagones,,,,,,,,,,,,,
Penalty 40 yards,1971082,15000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,,,,,,Penalty 40 yards,Goal,,,,
Throw-in (7),2002966,20000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,Throw-in,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,Patagones win throw-in,Santiago Wulff,Patagones,,,,,,,,,,,,,,,,,,,
Shot At Goal (7),2008166,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Benjamin Avendano,Patagones,,Shot At Goal,Wide,53;56,Attacking 60,,,,,,,,,,,,,,
Assist (3),2025400,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,,,,,,Unsuccessful,Tomas Garcia Del Rio,,,,,,,,,
Knock In (3),2048366,40000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,Knock In,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,,,,
Foul (8),2053200,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Tomas Garcia Del Rio,Patagones,,,,16;124,Attacking Half,,Foul,Blocking,,,Penalty 60 yards,119;126,22;113,,,,,,
Foul Received (8),2053200,25000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Alfonso Pieres,Pilot,,,,127;179,Defending Half,,Foul Received,Blocking,,,Penalty 60 yards,,,,,,,,
Penalty 60 yards (1),2140866,15000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 2,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,Penalty 60 yards,Wide,,,,
Shot At Goal (8),2398633,35000,Julian Appleby,Kimo Huddleston,Group,January 22. 2020,Patagones vs Pilot,Ylvisaker Cup,Chukka 3,,Kevin Fawcett,2020,International Polo Club,Search LiveStream,Live,Jamie Mirikitani,,Alfonso Pieres,Pilot,,Shot At Goal,Goal,85;21,Attacking 30,,,,,,,,,,,,,,
