Name,Position,Duration,Camera Angle,Umpire 2,Instant Replay Official,Search Event,Club,Stage,Game,Tournament,Match Date,Umpire 1,Third Umpire,Year,Team,Chukka Length,Chukka,Set Play,Throw-in Outcome,Player,Shot At Goal,Shot At Goal Outcome,General Field Area,Location,Assist Outcome,Assist,Knock-in Player 2,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Penalty Block,Goal,Penalties,Penalty Outcome,Highlight Reel
Shot At Goal (15),4413233,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 5,,,Jeff Hildebrand,Shot At Goal,Goal,Attacking 30,71;26,,,,,,,,,,,,,
Goal Tonkawa (3),4417766,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 5,,,Jeff Hildebrand,,,Attacking 30,70;7,,,,,,,,,,Goal Tonkawa,,,
Non Call (4),4420733,20000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Team,,Chukka 5,,,,,,,,,,,Non Call,Reaching,,,,,,,,
Assist (4),4434300,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 5,,,Sapo Caset,,,,,Successful,Sapo Caset,,,,,,,,,,,
Throw-in (9),4474700,20000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 5,Throw-in,Park Place win throw-in,Joaquin Panelo,,,,,,,,,,,,,,,,,
Foul (17),4491666,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 5,,,Juan Britos,,,Defending 30,83;275,,,,Foul,Cross/High Hook,Penalty 1,28;209,130;192,,,,,
Foul Received (17),4491666,25000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 5,,,Sapo Caset,,,Attacking 30,81;29,,,,Foul Received,Cross/High Hook,Penalty 1,,,,,,,
Goal Tonkawa (4),4499533,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 5,,,Sapo Caset,,,Attacking 30,76;3,,,,,,,,,,Goal Tonkawa,,,
Penalty 1,4524533,10000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 5,,,Sapo Caset,,,,,,,,,,,,,,,Penalty 1,Goal,
Penalty 5b (1),4578366,30000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 5,Penalty 5b,,Sapo Caset,,,,,,,,,,,,,,,,,
Non Call (5),4617100,20000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Team,,Chukka 5,,,,,,,,,,,Non Call,Right of Way,,,,,,,,
Shot At Goal (16),4653900,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 5,,,Joaquin Panelo,Shot At Goal,Wide,Attacking Half,114;93,,,,,,,,,,,,,
Knock In (8),4782133,40000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 5,Knock In,,Sapo Caset,,,,,,,Ignacio Toccalino,,,,,,,,,,
Shot At Goal (17),4816733,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 5,,,Ignacio Toccalino,Shot At Goal,Goal,Attacking 30,82;30,,,,,,,,,,,,,
Goal Tonkawa (5),4818066,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 5,,,Ignacio Toccalino,,,Attacking 30,75;7,,,,,,,,,,Goal Tonkawa,,,
Throw-in (10),4872833,20000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 5,Throw-in,Park Place win throw-in,Alfredo Bigatti,,,,,,,,,,,,,,,,,
Shot At Goal (18),4890133,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 5,,,Sapo Caset,Shot At Goal,Miss Hit,Attacking 30,68;33,,,,,,,,,,,,,
Shot At Goal (19),4895566,35000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Tonkawa,,Chukka 5,,,Matias Gonzalez,Shot At Goal,Blocked,Attacking 30,55;16,,,,,,,,,,,,,
Shot Block (1),4921133,10000,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Park Place,,Chukka 5,,,Alfredo Bigatti,,,,,,,,,,,,,Shot Block,,,,
Chukka Length (5),5137433,647068,Live,Julian Appleby,Jamie Mirikitani,Search Livestream,International Polo Club,Group,Park Place vs Tonkawa,USPA Gold Cup,March 10. 2020,Hector Galindo,Kevin Fawcett,2020,Team,Chukka Length,Chukka 6,,,,,,,,,,,,,,,,,,,,
