Name,Position,Duration,Chukka,Team,Player,Foul,Foul Outcome,Foul Type,General Field Area,Location,Umpire Focal,Umpire Trailing,Goal,Throw-in Outcome,Set Play,Highlight Reel,Assist,Assist Outcome,Camera Angle,Club,Collision,Country,Game,Instant Replay Official,Knock-in Player 2,Match Date,Penalties,Penalty Block,Penalty Outcome,Search Event,Shot At Goal,Shot At Goal Outcome,Stage,Third Umpire,Tournament,Tournament Handicap,Umpire 1,Umpire 2,Year
Shot Block (4),6848000,10000,Chukka 6,Aspen,Keko Magrini,,,,,,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,Shot Block,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Shot At Goal (24),6871300,35000,Chukka 6,Aspen,Ignacio Arlbervide,,,,Attacking 30,78;13,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,Shot At Goal,Goal,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Goal Aspen (9),6873100,35000,Chukka 6,Aspen,Ignacio Arlbervide,,,,Attacking 30,75;1,,,Goal Aspen,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Throw-in (20),6931947,20000,Chukka 6,Palm Beach Equine,Gringo Colombres,,,,,,,,,Palm Beach Equine win throw-in,Throw-in,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul (24),6946566,25000,Chukka 6,Palm Beach Equine,Costi Caset,Foul,Penalty 5,Dangerous Riding,Attacking 60,146;51,146;83,89;51,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul Received (22),6946566,25000,Chukka 6,Aspen,Keko Magrini,Foul Received,Penalty 5,Dangerous Riding,Defending 60,3;251,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Penalty 5 (3),6991533,30000,Chukka 6,Aspen,Lucas James,,,,,,,,,,Penalty 5,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Shot At Goal (25),7023366,35000,Chukka 6,Palm Beach Equine,Costi Caset,,,,Attacking 60,78;40,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,Shot At Goal,Wide,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Assist (8),7039766,25000,Chukka 6,Palm Beach Equine,Scott Swerdlin,,,,,,,,,,,,Scott Swerdlin,Unsuccessful,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Knock In (11),7070900,40000,Chukka 6,Aspen,Lucas James,,,,,,,,,,Knock In,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,Stewart Armstrong,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul (25),7087533,25000,Chukka 6,Palm Beach Equine,Robbie Bilbao,Foul,Penalty 5,Riding Into Shot,Attacking Half,78;122,45;88,99;112,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Foul Received (23),7087533,25000,Chukka 6,Aspen,Ignacio Arlbervide,Foul Received,Penalty 5,Riding Into Shot,Defending Half,60;180,,,,,,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
Penalty 5 (4),7144400,30000,Chukka 6,Aspen,Lucas James,,,,,,,,,,Penalty 5,,,,Live,International Polo Club Palm Beach,,USA,Aspen vs Palm Beach Equine,Unknown,,January 24. 2021,,,,Search Livestream,,,Group,Hector Galindo,Ylvisaker Cup,18,Julian Appleby,Ronnie Hayes,2021
