Name,Position,Duration,Umpire 2,Stage,Club,Third Umpire,Tournament,Country,Umpire 1,Instant Replay Official,Search Event,Match Date,Game,Camera Angle,Tournament Handicap,Set Play,Chukka,Year,Throw-in Outcome,Player,Team,Shot At Goal,Location,General Field Area,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Foul,Foul Type,Penalty Block,Knock-in Player 2,Foul Outcome,Penalties,Penalty Outcome
Foul Received,457514,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,Jesse Bray,JC Polo/Folded Hills,,30;180,Defending Half,,,,,,Foul Received,Turning,,,Penalty 5,,
Shot At Goal (10),464079,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,Jesse Bray,JC Polo/Folded Hills,Shot At Goal,63;51,Attacking 60,Wide,,,,,,,,,,,
Penalty 5,467615,30000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Penalty 5,Chukka 2,2021,,Jesse Bray,JC Polo/Folded Hills,,,,,,,,,,,,,,,
Non Call (2),470239,20000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,,Team,,,,,,,,,Non Call,Crossing,,,,,
Knock In (3),495500,40000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Knock In,Chukka 2,2021,,Tommy Alberdi,Cavallo Ranch,,,,,,,,,,,,John Bickford,,,
Foul (1),504746,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,Ben Soleimani,Cavallo Ranch,,89;102,Attacking Half,,,,,,Foul,Right of Way,,,Penalty 5,,
Foul Received (1),504746,25000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,Jesse Bray,JC Polo/Folded Hills,,58;192,Defending Half,,,,,,Foul Received,Right of Way,,,Penalty 5,,
Shot At Goal (11),508476,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,Bayne Bossom,JC Polo/Folded Hills,Shot At Goal,25;103,Attacking Half,Wide,,,,,,,,,,,
Shot At Goal (12),516097,35000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,,Chukka 2,2021,,JC Polo/Folded Hills Player 4,JC Polo/Folded Hills,Shot At Goal,55;8,Attacking 30,Miss Hit,,,,,,,,,,,
Penalty 5 (1),522435,30000,Steven Evans,Group,Eldorado Polo Club,Daniel Healy,Mack and Madelyn Jason Memorial,USA,Martin Aguerre,Unknown,Search Livestream,January 8. 2021,Cavallo Ranch vs JC Polo/Folded Hills,Live,8,Penalty 5,Chukka 2,2021,,Jesse Bray,JC Polo/Folded Hills,,,,,,,,,,,,,,,
