Name,Position,Duration,Game,Tournament,Stage,Match Date,Umpire 1,Umpire 2,Third Umpire,Instant Replay Official,Search Event,Year,Camera Angle,Club,Shot At Goal,Chukka,Shot At Goal Outcome,General Field Area,Location,Team,Player,Highlight Reel,Goal,Chukka Length,Set Play,Throw-in Outcome,Foul,Foul Type,Penalty Block,Assist Outcome,Assist,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Knock-in Player 2,Collision,Search,Country
Throw-in (17),4910900,20000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 6,,,,Stable Door Polo,Henry Porter,,,,Throw-in,Stable Door Polo win throw-in,,,,,,,,,,,,,,
Foul (23),4912733,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 6,,Defending Half,16;171,Stable Door Polo,Santino Magrini,,,,,,Foul,Right of Way,,,,Penalty 60 yards,21;147,91;165,,,,,,
Foul Received (23),4912733,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search LiveStream,2020,Live,International Polo Club,,Chukka 6,,Attacking Half,135;126,Daily Racing Form,Costi Caset,,,,,,Foul Received,Right of Way,,,,Penalty 60 yards,,,,,,,,
Penalty 60 yards (3),4982366,15000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,,,Daily Racing Form,Agustin Obregon,,,,,,,,,,,,,,Penalty 60 yards,Deflected,,,,
Goal Daily Racing Form (7),5009933,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,,,Daily Racing Form,Agustin Obregon,,Goal Daily Racing Form,,,,,,,,,,,,,,,,,
Safety 60,5027561,15000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,,,Daily Racing Form,Agustin Obregon,,,,,,,,,,,,,,Safety 60,Goal,,,,
Non Call (2),5056900,20000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,,,Team,,,,,,,Non Call,Right of Way,,,,,,,,,,,,
Throw-in (18),5057233,20000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,,,Daily Racing Form,Costi Caset,,,,Throw-in,Daily Racing Form win throw-in,,,,,,,,,,,,,,
Foul Received (24),5094800,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,Defending 30,74;263,Daily Racing Form,Jared Zenni,,,,,,Foul Received,Right of Way,,,,Penalty 5,,,,,,,,
Foul (24),5095100,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,Attacking 60,74;65,Stable Door Polo,Santino Magrini,,,,,,Foul,Right of Way,,,,Penalty 5,16;48,133;40,,,,,,
Foul (25),5131533,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,George Olivas,Hector Galindo,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,Defending 30,78;271,Daily Racing Form,Costi Caset,,,,,,Foul,Right of Way,,,,Penalty 30 yards,29;162,80;258,,,,,International Polo Club,USA
Foul Received (25),5131533,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,George Olivas,Hector Galindo,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,Attacking 60,71;57,Stable Door Polo,Matias Magrini,,,,,,Foul Received,Right of Way,,,,Penalty 30 yards,,,,,,,International Polo Club,USA
Penalty 5 (13),5137013,40000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,George Olivas,Hector Galindo,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,,,Daily Racing Form,Agustin Obregon,,,,Penalty 5,,,,,,,,,,,,,,International Polo Club,USA
Goal Stable Door Polo (7),5169833,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,George Olivas,Hector Galindo,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,,,Stable Door Polo,Santino Magrini,,Goal Stable Door Polo,,,,,,,,,,,,,,,,International Polo Club,USA
Penalty 30 yards (2),5188711,15000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,George Olivas,Hector Galindo,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,,,Stable Door Polo,Santino Magrini,,,,,,,,,,,,,,Penalty 30 yards,Goal,,,International Polo Club,USA
Goal Stable Door Polo (8),5216866,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,George Olivas,Hector Galindo,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,,,Stable Door Polo,Henry Porter,Goals,Goal Stable Door Polo,,,,,,,,,,,,,,,,International Polo Club,USA
Shot At Goal (23),5216866,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,George Olivas,Hector Galindo,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,Shot At Goal,Chukka 6,Goal,Attacking 30,76;22,Stable Door Polo,Henry Porter,,,,,,,,,,,,,,,,,,International Polo Club,USA
Throw-in (19),5224778,30000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,George Olivas,Hector Galindo,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,,,Stable Door Polo,Santino Magrini,,,,Throw-in,Stable Door Polo win throw-in,,,,,,,,,,,,,International Polo Club,USA
Assist (12),5234525,15000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,George Olivas,Hector Galindo,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,,,Stable Door Polo,Matias Magrini,,,,,,,,,,Assist,,,,,,,,International Polo Club,USA
Shot At Goal (24),5269133,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,George Olivas,Hector Galindo,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,Shot At Goal,Chukka 6,Goal,Attacking 30,73;17,Stable Door Polo,Henry Porter,,,,,,,,,,,,,,,,,,International Polo Club,USA
Goal Stable Door Polo (9),5270366,35000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,George Olivas,Hector Galindo,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,,,Stable Door Polo,Henry Porter,,Goal Stable Door Polo,,,,,,,,,,,,,,,,International Polo Club,USA
Throw-in (20),5275400,30000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,George Olivas,Hector Galindo,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,,,Stable Door Polo,Henry Porter,,,,Throw-in,Stable Door Polo win throw-in,,,,,,,,,,,,,International Polo Club,USA
Injury Time (1),5328333,119900,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search Livestream,USA,Live,International Polo Club,,Chukka 6,,,,Team,,,,Injury Time,,,,,,,,,,,,,,,,
Throw-in (21),5443900,30000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,George Olivas,Hector Galindo,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,,,Daily Racing Form,Agustin Obregon,,,,Throw-in,Daily Racing Form win throw-in,,,,,,,,,,,,,International Polo Club,USA
Chukka Length (7),5448233,215400,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,Hector Galindo,George Olivas,Horton Schwartz,Ka'aina DeCoite,Search Livestream,USA,Live,International Polo Club,,Chukka 6,,,,Team,,,,Chukka Length,,,,,,,,,,,,,,,,
Foul (26),5494033,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,George Olivas,Hector Galindo,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,Attacking Half,130;101,Stable Door Polo,Henry Porter,,,,,,Foul,Riding Into Shot,,,,Penalty 5B,81;97,133;183,,,,,International Polo Club,USA
Foul Received (26),5494033,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,George Olivas,Hector Galindo,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,Defending Half,23;183,Daily Racing Form,Jared Zenni,,,,,,Foul Received,Riding Into Shot,,,,Penalty 5B,,,,,,,International Polo Club,USA
Penalty 5b (2),5550354,40000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,George Olivas,Hector Galindo,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,,,Daily Racing Form,Jared Zenni,,,,Penalty 5b,,,,,,,,,,,,,,International Polo Club,USA
Non Call (3),5568766,20000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,George Olivas,Hector Galindo,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,,,Team,,,,,,,Non Call,Right of Way,,,,,,,,,,,International Polo Club,USA
Foul (27),5578566,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,George Olivas,Hector Galindo,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,Attacking Half,13;97,Daily Racing Form,Jared Zenni,,,,,,Foul,Blocking,,,,Penalty 5,3;71,76;106,,,,,International Polo Club,USA
Foul Received (27),5578566,25000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,George Olivas,Hector Galindo,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,Defending Half,135;225,Stable Door Polo,Henry Porter,,,,,,Foul Received,Blocking,,,,Penalty 5,,,,,,,International Polo Club,USA
Penalty 5 (14),5610166,40000,Daily Racing Form vs Stable Door Polo,Ylvisaker Cup,Group,January 22. 2020,George Olivas,Hector Galindo,Horton Schwartz,Ka'aina DeCoite,Search Livestream,2020,Live,International Polo Club,,Chukka 6,,,,Stable Door Polo,Unknown,,,,Penalty 5,,,,,,,,,,,,,,International Polo Club,USA
