Name,Position,Duration,Game,Stage,Match Date,Tournament,Umpire 2,Club,Year,Team,Instant Replay Official,Chukka,Umpire 1,Camera Angle,Search Event,Third Umpire,Goal,Set Play,Throw-in Outcome,Player,Chukka Length,Shot At Goal,General Field Area,Location,Shot At Goal Outcome,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Knock-in Player 2,Highlight Reel,Penalty Block,Assist Outcome,Assist,Collision
Assist (2),7399866,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Steve Krueger,,,,,,,,,,,,,,,,Unsuccessful,Steve Krueger,
Shot At Goal (10),7406332,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Felipe Marquez,,Shot At Goal,Attacking 30,76;38,Short,,,,,,,,,,,,,
Shot Block,7407666,10000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Ezequiel Martinez Ferrario,,,,,,,,,,,,,,,Shot Block,,,
Foul Received (3),7429766,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Nicolas Pieres,,,Defending Half,19;201,,Foul Received,Dangerous Riding,Penalty 5B,,,,,,,,,,
Foul (3),7430499,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Ezequiel Martinez Ferrario,,,Attacking 60,139;67,,Foul,Dangerous Riding,Penalty 5B,81;115,72;102,,,,,,,,
Yellow Card,7540099,10000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Nicolas Pieres,,,,,,Yellow Card,Dangerous Riding,Penalty 5B,,,,,,,,,,
Yellow Card (1),7541766,10000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Ezequiel Martinez Ferrario,,,,,,Yellow Card,Dangerous Riding,Penalty 5B,,,,,,,,,,
Shot At Goal (11),7577066,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Steve Krueger,,Shot At Goal,Attacking 60,136;56,Wide,,,,,,,,,,,,,
Assist (3),7592466,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Julian de Lusarreta,,,,,,,,,,,,,,,,Unsuccessful,Julian de Lusarreta,
Penalty 5b (2),7597399,30000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,Penalty 5b,,Julian de Lusarreta,,,,,,,,,,,,,,,,,,
Knock In (5),7622899,40000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,Knock In,,Ezequiel Martinez Ferrario,,,,,,,,,,,,,,,,,,
Foul (4),7631466,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Julian de Lusarreta,,,Attacking Half,127;130,,Foul,Blocking,Penalty 60 yards,81;130,131;62,,,,,,,,
Foul Received (4),7631466,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Felipe Marquez,,,Defending Half,32;166,,Foul Received,Blocking,Penalty 60 yards,,,,,,,,,,
Penalty 60 yards,7732732,15000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Ezequiel Martinez Ferrario,,,,,,,,,,,Penalty 60 yards,Wide,,,,,,
Knock In (6),7754299,40000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,Knock In,,Julian de Lusarreta,,,,,,,,,,,,,Nicolas Pieres,,,,,
Foul (5),7832599,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Julian de Lusarreta,,,Defending Half,14;231,,Foul,Dangerous Riding,Penalty 30 yards,5;203,73;199,,,,,,,,
Foul Received (5),7832599,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Felipe Marquez,,,Attacking 60,132;68,,Foul Received,Dangerous Riding,Penalty 30 yards,,,,,,,,,,
Free Hit,7834432,20000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,Free Hit,,Felipe Marquez,,,,,,,,,,,,,,,,,,
Injury Time (6),7854400,205233,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Team,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,,Injury Time,,,,,,,,,,,,,,,,,
Yellow Card (2),7901399,10000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Nicolas Pieres,,,,,,Yellow Card,Technical,Penalty 30 yards,,,,,,,,,,
Goal Cessna (4),8030966,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,Goal Cessna,,,Ezequiel Martinez Ferrario,,,,,,,,,,,,,,,,,,
Penalty 30 yards,8049099,15000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Ezequiel Martinez Ferrario,,,,,,,,,,,Penalty 30 yards,Goal,,,,,,
Chukka Length (14),8059633,17333,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Team,Ronnie Hayes,Chukka 6,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,,Chukka Length,,,,,,,,,,,,,,,,,
Foul (6),8434732,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Cessna,Ronnie Hayes,Chukka 7,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Ezequiel Martinez Ferrario,,,Defending Half,35;165,,Foul,Right of Way,Penalty 60 yards,26;131,91;149,,,,,,,,
Foul Received (6),8434732,25000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 7,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Julian de Lusarreta,,,Attacking Half,119;135,,Foul Received,Right of Way,Penalty 60 yards,,,,,,,,,,
Throw-in (5),8439832,20000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 7,Kimo Huddleston,Live,Search Livestream,George Olivas,,Throw-in,Coca-Cola win throw-in,Julian de Lusarreta,,,,,,,,,,,,,,,,,,
Chukka Length (15),8444133,120049,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Team,Ronnie Hayes,Chukka 7,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,,Chukka Length,,,,,,,,,,,,,,,,,
Goal Coca-Cola,8524266,35000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 7,Kimo Huddleston,Live,Search Livestream,George Olivas,Goal Coca-Cola,,,Nicolas Pieres,,,,,,,,,,,,,,,,,,
Penalty 60 yards (1),8543495,15000,Cessna vs Coca-Cola,Group,March 03. 2020,USPA Gold Cup,Martin,International Polo Club,2020,Coca-Cola,Ronnie Hayes,Chukka 7,Kimo Huddleston,Live,Search Livestream,George Olivas,,,,Nicolas Pieres,,,,,,,,,,,Penalty 60 yards,Goal,,,,,,
