Name,Position,Duration,Tournament,Third Umpire,Umpire 2,Instant Replay Official,Match Date,Stage,Search Event,Game,Club,Chukka,Camera Angle,Set Play,Year,Throw-in Outcome,Team,Player,Umpire 1,Foul,Location,General Field Area,Foul Outcome,Foul Type,Penalties,Penalty Outcome,Goal,Collision,Assist Outcome,Assist,Shot At Goal,Shot At Goal Outcome,Knock-in Player 2,Penalty Block,Highlight Reel
Knock In (4),2575788,40000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,Knock In,2020,,Old Hickory Bourbon,Stephen Orthwein,Unknown,,,,,,,,,,,,,,Miguel Novillo Astrada,,
Shot At Goal (11),2576782,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Old Hickory Bourbon,Miguel Novillo Astrada,Unknown,,60;26,Attacking 30,,,,,,,,,Shot At Goal,Goal,,,
Goal Old Hickory Bourbon (3),2574913,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Old Hickory Bourbon,Miguel Novillo Astrada,Unknown,,75;7,Attacking 30,,,,,Goal Old Hickory Bourbon,,,,,,,,
Assist (6),2589913,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Old Hickory Bourbon,Stephen Orthwein,Unknown,,,,,,,,,,Successful,Stephen Orthwein,,,,,
Throw-in (12),2628725,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,Throw-in,2020,Tonkawa win throw-in,Tonkawa,Sapo Caset,Unknown,,,,,,,,,,,,,,,,
Yellow Card,2425589,10000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 3,Live,,2020,,Tonkawa,Sapo Caset,Unknown,Yellow Card,,,,Dangerous Riding,,,,,,,,,,,
Throw-in (13),3014710,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 4,Live,Throw-in,2020,Tonkawa win throw-in,Tonkawa,Sapo Caset,Unknown,,,,,,,,,,,,,,,,
Foul (12),3052323,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 4,Live,,2020,,Tonkawa,Ignacio Toccalino,Unknown,Foul,89;54,Attacking 60,Penalty 5B,Right of Way,,,,,,,,,,,
Foul Received (12),3052323,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 4,Live,,2020,,Old Hickory Bourbon,Stephen Orthwein,Unknown,Foul Received,74;272,Defending 30,Penalty 5B,Right of Way,,,,,,,,,,,
Penalty 5b (2),3110839,30000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 4,Live,Penalty 5b,2020,,Old Hickory Bourbon,Miguel Novillo Astrada,Unknown,,,,,,,,,,,,,,,,
Non Call (2),3114051,20000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 4,Live,,2020,,Team,,Unknown,Non Call,,,,Right of Way,,,,,,,,,,,
Shot At Goal (12),3099920,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 4,Live,,2020,,Old Hickory Bourbon,Will Johnston,Unknown,,52;9,Attacking 30,,,,,,,,,Shot At Goal,Wide,,,
Assist (7),3115237,25000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 4,Live,,2020,,Old Hickory Bourbon,Miguel Novillo Astrada,Unknown,,,,,,,,,,Unsuccessful,Miguel Novillo Astrada,,,,,
Knock In (5),3141702,40000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 4,Live,Knock In,2020,,Tonkawa,Sapo Caset,Unknown,,,,,,,,,,,,,,Ignacio Toccalino,,
Shot At Goal (13),3167020,35000,USPA Gold Cup,Unknown,Unknown,Unknown,February 26. 2020,Group,Search Livestream,Old Hickory Bourbon vs Tonkawa,International Polo Club,Chukka 4,Live,,2020,,Old Hickory Bourbon,Will Johnston,Unknown,,92;12,Attacking 30,,,,,,,,,Shot At Goal,Goal,,,
