Name,Position,Duration,Chukka,Player,Team,Foul,Foul Outcome,Foul Type,Goal,Location,General Field Area,Umpire Focal,Umpire Trailing,Set Play,Throw-in Outcome,Assist,Assist Outcome,Camera Angle,Chukka Length,Club,Game,Highlight Reel,Instant Replay Official,Knock-in Player 2,Match Date,Penalties,Penalty Outcome,Search Event,Shot At Goal,Shot At Goal Outcome,Stage,Third Umpire,Tournament,Umpire 1,Umpire 2,Year
Shot At Goal,434833,35000,Chukka 1,,Team,,,,,46;71,Attacking 60,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,Shot At Goal,Wide,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Throw-in,437233,20000,Chukka 1,Gillian Johnston,Coca-Cola,,,,,,,,,Throw-in,Coca-Cola win throw-in,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Chukka Length,437233,695829,Chukka 1,,Team,,,,,,,,,,,,,Live,Chukka Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Game Length,438333,5729970,,,Team,,,,,,,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Assist,457133,25000,Chukka 1,Nicolas Pieres,Coca-Cola,,,,,,,,,,,Nicolas Pieres,Unsuccessful,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Shot At Goal (1),472566,35000,Chukka 1,David Stirling,Las Monjitas,,,,,69;25,Attacking 30,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,Shot At Goal,Goal,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Goal Las Monjitas,474466,35000,Chukka 1,David Stirling,Las Monjitas,,,,Goal Las Monjitas,71;6,Attacking 30,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Knock In,479200,40000,Chukka 1,David Stirling,Las Monjitas,,,,,,,,,Knock In,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,Francisco Elizalde,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Assist (1),479700,25000,Chukka 1,Francisco Elizalde,Las Monjitas,,,,,,,,,,,Francisco Elizalde,Successful,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Throw-in (1),530066,20000,Chukka 1,Julian de Lusarreta,Coca-Cola,,,,,,,,,Throw-in,Coca-Cola win throw-in,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Foul,574466,25000,Chukka 1,Mackenzie Weisz,Las Monjitas,Foul,Penalty 5B,Cross/High Hook,,73;49,Attacking 60,72;58,136;21,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Foul Received,574466,25000,Chukka 1,Nicolas Pieres,Coca-Cola,Foul Received,Penalty 5B,Cross/High Hook,,82;249,Defending 60,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Penalty 5b,645953,30000,Chukka 1,Julian de Lusarreta,Coca-Cola,,,,,,,,,Penalty 5b,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Foul (1),659933,25000,Chukka 1,Julian de Lusarreta,Coca-Cola,Foul,Penalty 5,Right of Way,,67;36,Attacking 30,50;51,116;22,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Foul Received (1),659933,25000,Chukka 1,David Stirling,Las Monjitas,Foul Received,Penalty 5,Right of Way,,87;274,Defending 30,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Penalty 5,698766,30000,Chukka 1,Francisco Elizalde,Las Monjitas,,,,,,,,,Penalty 5,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Shot At Goal (2),715033,35000,Chukka 1,Francisco Elizalde,Las Monjitas,,,,,71;24,Attacking 30,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,Shot At Goal,Goal,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Goal Las Monjitas (1),717800,35000,Chukka 1,Francisco Elizalde,Las Monjitas,,,,Goal Las Monjitas,76;6,Attacking 30,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,Goals,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Assist (2),730966,25000,Chukka 1,David Stirling,Las Monjitas,,,,,,,,,,,David Stirling,Successful,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Throw-in (2),780859,20000,Chukka 1,David Stirling,Las Monjitas,,,,,,,,,Throw-in,Las Monjitas win throw-in,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Shot At Goal (3),802133,35000,Chukka 1,Nicolas Pieres,Coca-Cola,,,,,65;81,Attacking Half,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,Shot At Goal,Short,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Non Call,811866,20000,Chukka 1,,Team,Non Call,,Riding Into Shot,,,,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Shot At Goal (4),812433,35000,Chukka 1,Julian de Lusarreta,Coca-Cola,,,,,75;15,Attacking 30,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,Shot At Goal,Goal,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Goal Coca-Cola,813833,35000,Chukka 1,Julian de Lusarreta,Coca-Cola,,,,Goal Coca-Cola,76;7,Attacking 30,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Throw-in (3),946200,20000,Chukka 1,Julian de Lusarreta,Coca-Cola,,,,,,,,,Throw-in,Coca-Cola win throw-in,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Foul (2),957524,25000,Chukka 1,Nicolas Pieres,Coca-Cola,Foul,Penalty 40 yards,Right of Way,,51;185,Defending Half,34;183,96;136,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Foul Received (2),957524,25000,Chukka 1,David Stirling,Las Monjitas,Foul Received,Penalty 40 yards,Right of Way,,103;117,Attacking Half,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Goal Las Monjitas (2),1013333,35000,Chukka 1,Francisco Elizalde,Las Monjitas,,,,Goal Las Monjitas,,,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Penalty 40 yards,1031191,15000,Chukka 1,Francisco Elizalde,Las Monjitas,,,,,,,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,Penalty 40 yards,Goal,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Throw-in (4),1064300,20000,Chukka 1,David Stirling,Las Monjitas,,,,,,,,,Throw-in,Las Monjitas win throw-in,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Shot At Goal (5),1076133,35000,Chukka 1,Steve Krueger,Coca-Cola,,,,,48;16,Attacking 30,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,Shot At Goal,Wide,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Assist (3),1087966,25000,Chukka 1,Nicolas Pieres,Coca-Cola,,,,,,,,,,,Nicolas Pieres,Unsuccessful,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Knock In (1),1255166,40000,Chukka 2,David Stirling,Las Monjitas,,,,,,,,,Knock In,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,Francisco Elizalde,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Chukka Length (1),1256883,710523,Chukka 2,,Team,,,,,,,,,,,,,Live,Chukka Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Shot At Goal (6),1280000,35000,Chukka 2,David Stirling,Las Monjitas,,,,,83;15,Attacking 30,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,Shot At Goal,Goal,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Goal Las Monjitas (3),1282533,35000,Chukka 2,David Stirling,Las Monjitas,,,,Goal Las Monjitas,71;6,Attacking 30,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Throw-in (5),1342966,20000,Chukka 2,David Stirling,Las Monjitas,,,,,,,,,Throw-in,Las Monjitas win throw-in,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Foul (3),1365100,25000,Chukka 2,Julian de Lusarreta,Coca-Cola,Foul,Penalty 30 yards,Right of Way,,82;271,Defending 60,110;283,52;259,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Foul Received (3),1365100,25000,Chukka 2,David Stirling,Las Monjitas,Foul Received,Penalty 30 yards,Right of Way,,65;25,Attacking 30,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Goal Las Monjitas (4),1390433,35000,Chukka 2,Mackenzie Weisz,Las Monjitas,,,,Goal Las Monjitas,,,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Penalty 30 yards Spot,1412266,10000,Chukka 2,Mackenzie Weisz,Las Monjitas,,,,,,,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,Penalty 30 yards Spot,Goal,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Throw-in (6),1443833,20000,Chukka 2,Francisco Elizalde,Las Monjitas,,,,,,,,,Throw-in,Las Monjitas win throw-in,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Foul (4),1458900,25000,Chukka 2,Steve Krueger,Coca-Cola,Foul,Penalty 30 yards,Right of Way,,51;215,Defending Half,35;221,97;217,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Foul Received (4),1458900,25000,Chukka 2,Mackenzie Weisz,Las Monjitas,Foul Received,Penalty 30 yards,Right of Way,,100;81,Attacking Half,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Goal Las Monjitas (5),1545533,35000,Chukka 2,Francisco Elizalde,Las Monjitas,,,,Goal Las Monjitas,,,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Penalty 30 yards,1563833,15000,Chukka 2,Francisco Elizalde,Las Monjitas,,,,,,,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,Penalty 30 yards,Goal,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Throw-in (7),1596133,20000,Chukka 2,David Stirling,Las Monjitas,,,,,,,,,Throw-in,Las Monjitas win throw-in,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Foul (5),1634500,25000,Chukka 2,Julian de Lusarreta,Coca-Cola,Foul,Penalty 30 yards,Cross/High Hook,,98;243,Defending 60,110;236,42;267,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Foul Received (5),1634500,25000,Chukka 2,Steve Krueger,Coca-Cola,Foul Received,Penalty 30 yards,Cross/High Hook,,55;45,Attacking 60,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Goal Las Monjitas (6),1667700,35000,Chukka 2,Francisco Elizalde,Las Monjitas,,,,Goal Las Monjitas,,,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,,,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
Penalty 30 yards (1),1684691,15000,Chukka 2,Francisco Elizalde,Las Monjitas,,,,,,,,,,,,,Live,Game Length,International Polo Club,Coca-Cola vs Las Monjitas,,Hector Galindo,,February 27. 2020,Penalty 30 yards,Goal,Serarch Livestream,,,Group,Ka'aina DeCoite,USPA Gold Cup,Jamie Mirikitani,Kevin Fawcett,2020
