Name,Position,Duration,Chukka,Team,Player,Foul,Foul Type,Foul Outcome,Goal,Set Play,General Field Area,Location,Assist,Assist Outcome,Camera Angle,Chukka Length,Club,Game,Highlight Reel,Instant Replay Official,Knock-in Player 2,Match Date,Penalties,Penalty Outcome,Search Event,Shot At Goal,Shot At Goal Outcome,Stage,Third Umpire,Throw-in Outcome,Tournament,Umpire 1,Umpire 2,Umpire Focal,Umpire Trailing,Year,Penalty Block
Shot At Goal,265633,35000,Chukka 1,Pilot,Facundo Pieres,,,,,,Attacking 30,63;21,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Goal,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Goal Pilot,266400,35000,Chukka 1,Pilot,Facundo Pieres,,,,Goal Pilot,,Attacking 30,71;3,,,Live,,International Polo Club,La Indiana vs Pilot,Goals,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Throw-in,276833,20000,Chukka 1,Pilot,Facundo Pieres,,,,,Throw-in,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,Pilot win throw-in,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Game Length,276833,6727530,,Team,,,,,,,,,,,Live,Game Length,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Chukka Length,280966,631700,Chukka 1,Team,,,,,,,,,,,Live,Chukka Length,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Throw-in (1),324691,20000,Chukka 1,La Indiana,Santiago Gomez Romero,,,,,Throw-in,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,La Indiana win throw-in,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Foul,392433,25000,Chukka 1,Pilot,Lucas Escobar,Foul,Right of Way,Penalty 30 yards,,,Defending 60,85;267,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,34;247,75;236,2020,
Foul Received,392433,25000,Chukka 1,La Indiana,Santiago Gomez Romero,Foul Received,Right of Way,Penalty 30 yards,,,Attacking 30,71;31,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Goal La Indiana,433533,35000,Chukka 1,La Indiana,Jeff Hall,,,,Goal La Indiana,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Penalty 30 yards,449100,15000,Chukka 1,La Indiana,Jeff Hall,,,,,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,Penalty 30 yards,Goal,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Throw-in (2),484000,20000,Chukka 1,Pilot,Facundo Pieres,,,,,Throw-in,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,Pilot win throw-in,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Foul (1),520066,25000,Chukka 1,La Indiana,Jeff Hall,Foul,Crossing,Penalty 5,,,Attacking 30,82;17,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,46;42,92;49,2020,
Foul Received (1),520066,25000,Chukka 1,Pilot,Facundo Pieres,Foul Received,Crossing,Penalty 5,,,Defending 30,66;279,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (1),559466,35000,Chukka 1,Pilot,Gonzalito Pieres,,,,,,Attacking 30,75;30,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Goal,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Goal Pilot (1),560766,35000,Chukka 1,Pilot,Gonzalito Pieres,,,,Goal Pilot,,Attacking 30,73;3,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Penalty 5,565100,30000,Chukka 1,Pilot,Facundo Pieres,,,,,Penalty 5,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Assist,573033,25000,Chukka 1,Pilot,Facundo Pieres,,,,,,,,Facundo Pieres,Successful,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Throw-in (3),617933,20000,Chukka 1,La Indiana,Santiago Gomez Romero,,,,,Throw-in,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,La Indiana win throw-in,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Foul (2),618733,25000,Chukka 1,La Indiana,Polito Pieres,Foul,Dangerous Riding,Penalty 5,,,Attacking Half,34;115,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,19;118,76;122,2020,
Foul Received (2),618733,25000,Chukka 1,Pilot,Gonzalito Pieres,Foul Received,Dangerous Riding,Penalty 5,,,Defending Half,116;183,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (2),656400,35000,Chukka 1,Pilot,Facundo Pieres,,,,,,Attacking 30,84;15,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Goal,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Goal Pilot (2),657733,35000,Chukka 1,Pilot,Facundo Pieres,,,,Goal Pilot,,Attacking 30,76;4,,,Live,,International Polo Club,La Indiana vs Pilot,Goals,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Penalty 5 (1),661166,30000,Chukka 1,Pilot,Facundo Pieres,,,,,Penalty 5,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Throw-in (4),708766,20000,Chukka 1,La Indiana,Jeff Hall,,,,,Throw-in,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,La Indiana win throw-in,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Foul (3),709633,25000,Chukka 1,La Indiana,Polito Pieres,Foul,Right of Way,Penalty 5,,,Attacking Half,141;133,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,99;120,132;159,2020,
Foul Received (3),709633,25000,Chukka 1,Pilot,Facundo Pieres,Foul Received,Right of Way,Penalty 5,,,Defending Half,8;174,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (3),733033,35000,Chukka 1,Pilot,Facundo Pieres,,,,,,Attacking 30,109;38,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Miss Hit,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Penalty 5 (2),743900,30000,Chukka 1,Pilot,Facundo Pieres,,,,,Penalty 5,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (4),754933,35000,Chukka 1,La Indiana,Santiago Gomez Romero,,,,,,Attacking 60,93;56,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Short,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (5),765166,35000,Chukka 1,La Indiana,Michael Bickford,,,,,,Attacking 30,53;12,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Goal,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Goal La Indiana (1),766966,35000,Chukka 1,La Indiana,Michael Bickford,,,,Goal La Indiana,,Attacking 30,71;4,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Throw-in (5),824500,20000,Chukka 1,Pilot,Facundo Pieres,,,,,Throw-in,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,Pilot win throw-in,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Foul (4),834133,25000,Chukka 1,La Indiana,Santiago Gomez Romero,Foul,Crossing,Penalty 30 yards,,,Defending 60,60;242,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,44;213,107;249,2020,
Foul Received (4),834133,25000,Chukka 1,Pilot,Curtis Pilot,Foul Received,Crossing,Penalty 30 yards,,,Attacking 60,87;47,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Goal Pilot (3),1057300,35000,Chukka 2,Pilot,Facundo Pieres,,,,Goal Pilot,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Penalty 30 yards (1),1073833,15000,Chukka 2,Pilot,Facundo Pieres,,,,,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,Penalty 30 yards,Goal,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Chukka Length (1),1084466,48800,Chukka 2,Team,,,,,,,,,,,Live,Chukka Length,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Throw-in (6),1114646,20000,Chukka 2,La Indiana,Polito Pieres,,,,,Throw-in,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,La Indiana win throw-in,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Injury Time,1128633,70300,Chukka 2,Team,,,,,,,,,,,Live,Injury Time,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Foul (5),1194433,25000,Chukka 2,Pilot,Lucas Escobar,Foul,Riding Into Shot,Penalty 60 yards,,,Defending Half,43;203,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,18;209,55;247,2020,
Foul Received (5),1194433,25000,Chukka 2,La Indiana,Santiago Gomez Romero,Foul Received,Riding Into Shot,Penalty 60 yards,,,Attacking Half,105;103,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Throw-in (7),1194933,20000,Chukka 2,La Indiana,Santiago Gomez Romero,,,,,Throw-in,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,La Indiana win throw-in,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Chukka Length (2),1199366,993192,Chukka 2,Team,,,,,,,,,,,Live,Chukka Length,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Penalty 60 yards,1670966,15000,Chukka 2,La Indiana,Polito Pieres,,,,,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,Penalty 60 yards,Blocked,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Penalty Block,1678400,10000,Chukka 2,Pilot,Lucas Escobar,,,,,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,Penalty Block
Goal La Indiana (2),1712366,35000,Chukka 2,La Indiana,Polito Pieres,,,,Goal La Indiana,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Safety 60,1725233,15000,Chukka 2,La Indiana,Polito Pieres,,,,,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,Safety 60,Goal,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (6),1759166,35000,Chukka 2,Pilot,Facundo Pieres,,,,,,Attacking Half,123;90,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Short,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Throw-in (8),1760802,20000,Chukka 2,La Indiana,Polito Pieres,,,,,Throw-in,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,La Indiana win throw-in,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (7),1767633,35000,Chukka 2,Pilot,Facundo Pieres,,,,,,Attacking 30,81;27,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Short,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (8),1805033,35000,Chukka 2,La Indiana,Michael Bickford,,,,,,Attacking Half,64;81,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Blocked,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot Block,1832366,10000,Chukka 2,Pilot,Curtis Pilot,,,,,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,Shot Block
Non Call,1851266,20000,Chukka 2,Team,,Non Call,Reaching,,,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Foul (6),1864300,25000,Chukka 2,Pilot,Lucas Escobar,Foul,Crossing,Penalty 60 yards,,,Defending Half,62;172,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,119;177,97;149,2020,
Foul Received (6),1864300,25000,Chukka 2,La Indiana,Polito Pieres,Foul Received,Crossing,Penalty 60 yards,,,Attacking Half,83;124,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Goal La Indiana (3),1939800,35000,Chukka 2,La Indiana,Polito Pieres,,,,Goal La Indiana,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Penalty 60 yards (1),1943273,15000,Chukka 2,La Indiana,Polito Pieres,,,,,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,Penalty 60 yards,Goal,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Throw-in (9),1979666,20000,Chukka 2,La Indiana,Jeff Hall,,,,,Throw-in,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,La Indiana win throw-in,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (9),1981933,35000,Chukka 2,Pilot,Lucas Escobar,,,,,,Attacking 60,123;49,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Wide,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Knock In,2034566,40000,Chukka 2,La Indiana,Polito Pieres,,,,,Knock In,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,Santiago Gomez Romero,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (10),2048366,35000,Chukka 2,La Indiana,Polito Pieres,,,,,,Attacking Half,99;95,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Wide,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Assist (1),2066200,25000,Chukka 2,La Indiana,Jeff Hall,,,,,,,,Jeff Hall,Unsuccessful,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Knock In (1),2094911,40000,Chukka 2,Pilot,Facundo Pieres,,,,,Knock In,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,Gonzalito Pieres,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (11),2105900,35000,Chukka 2,Pilot,Facundo Pieres,,,,,,Attacking 60,79;53,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Miss Hit,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (12),2109000,35000,Chukka 2,Pilot,Curtis Pilot,,,,,,Attacking 30,69;27,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Goal,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Goal Pilot (4),2111133,35000,Chukka 2,Pilot,Curtis Pilot,,,,Goal Pilot,,Attacking 30,71;6,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (13),2370766,35000,Chukka 3,Pilot,Gonzalito Pieres,,,,,,Attacking 60,71;47,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Miss Hit,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Throw-in (10),2385000,20000,Chukka 3,Pilot,Gonzalito Pieres,,,,,Throw-in,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,Pilot win throw-in,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Chukka Length (3),2389666,719562,Chukka 3,Team,,,,,,,,,,,Live,Chukka Length,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Foul (7),2429000,25000,Chukka 3,La Indiana,Jeff Hall,Foul,Blocking,Penalty 5B,,,Attacking 60,92;56,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,119;61,85;88,2020,
Foul Received (7),2429000,25000,Chukka 3,Pilot,Facundo Pieres,Foul Received,Blocking,Penalty 5B,,,Defending 60,55;245,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (14),2459700,35000,Chukka 3,Pilot,Facundo Pieres,,,,,,Attacking Half,69;125,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Wide,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Penalty 5b,2480891,30000,Chukka 3,Pilot,Facundo Pieres,,,,,Penalty 5b,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Shot At Goal (15),2513933,35000,Chukka 3,La Indiana,Michael Bickford,,,,,,Attacking 60,39;39,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,Shot At Goal,Short,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Knock In (2),2516100,40000,Chukka 3,La Indiana,Polito Pieres,,,,,Knock In,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,Michael Bickford,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Foul (8),2547133,25000,Chukka 3,La Indiana,Jeff Hall,Foul,Blocking,Penalty 60 yards,,,Attacking 30,48;15,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,31;17,53;57,2020,
Foul Received (8),2547133,25000,Chukka 3,Pilot,Gonzalito Pieres,Foul Received,Blocking,Penalty 60 yards,,,Defending 30,98;286,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Yellow Card,2558200,10000,Chukka 3,La Indiana,Polito Pieres,Yellow Card,Technical,Penalty 60 yards,,,Attacking 30,46;17,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Penalty 60 yards (2),2667250,15000,Chukka 3,Pilot,Facundo Pieres,,,,,,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,,February 19. 2020,Penalty 60 yards,Wide,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
Knock In (3),2694460,40000,Chukka 3,La Indiana,Polito Pieres,,,,,Knock In,,,,,Live,,International Polo Club,La Indiana vs Pilot,,Ronnie Hayes,Santiago Gomez Romero,February 19. 2020,,,Search Livestream,,,Semi-Final,Martin,,C.V. Whitney Cup,Horton Schwartz,Kimo Huddleston,,,2020,
