Name,Position,Duration,Tournament,Game,Stage,Match Date,Umpire 2,Umpire 1,Third Umpire,Instant Replay Official,Search Event,Camera Angle,Team,Chukka,Club,Year,Set Play,Player,Throw-in Outcome,Foul,Foul Outcome,Location,General Field Area,Foul Type,Umpire Focal,Umpire Trailing,Chukka Length,Goal,Penalties,Penalty Outcome,Shot At Goal,Shot At Goal Outcome,Highlight Reel,Knock-in Player 2,Assist,Assist Outcome,Penalty Block
Throw-in,875400,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,Throw-in,Jeff Hall,La Indiana win throw-in,,,,,,,,,,,,,,,,,,
Foul,878366,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 1,International Polo Club,2020,,Hugo Lloret,,Foul,Penalty 30 yards,116;206,Defending Half,Right of Way,98;131,35;159,,,,,,,,,,,
Foul Received,878366,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Jeff Hall,,Foul Received,Penalty 30 yards,26;76,Attacking Half,Right of Way,,,,,,,,,,,,,
Game Length,879533,6527500,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Team,,International Polo Club,2020,,,,,,,,,,,Game Length,,,,,,,,,,
Chukka Length,879566,764400,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Team,Chukka 1,International Polo Club,2020,,,,,,,,,,,Chukka Length,,,,,,,,,,
Goal La Indiana,924100,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Facundo Obregon,,,,76;2,Attacking 30,,,,,Goal La Indiana,,,,,,,,,
Penalty 30 yards,940100,15000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Facundo Obregon,,,,,,,,,,,Penalty 30 yards,Goal,,,,,,,
Shot At Goal,973333,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Jeff Hall,,,,79;12,Attacking 30,,,,,,,,Shot At Goal,Goal,,,,,
Goal La Indiana (1),974533,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Jeff Hall,,,,78;4,Attacking 30,,,,,Goal La Indiana,,,,,Goals,,,,
Throw-in (1),976633,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,Throw-in,Jeff Hall,La Indiana win throw-in,,,,,,,,,,,,,,,,,,
Throw-in (2),1035366,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 1,International Polo Club,2020,Throw-in,Hugo Lloret,Aliano Realty/Horseware win throw-in,,,,,,,,,,,,,,,,,,
Foul (1),1063766,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 1,International Polo Club,2020,,Joaquin Panelo,,Foul,Penalty 30 yards,85;256,Defending 60,Riding Into Shot,83;58,40;85,,,,,,,,,,,
Foul Received (1),1063766,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Michael Bickford,,Foul Received,Penalty 30 yards,66;27,Attacking 30,Riding Into Shot,,,,,,,,,,,,,
Penalty 30 yards (1),1104200,15000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Facundo Obregon,,,,,,,,,,,Penalty 30 yards,Wide,,,,,,,
Knock In,1124233,40000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 1,International Polo Club,2020,Knock In,Joaquin Panelo,,,,,,,,,,,,,,,,Mariano Obregon,,,
Shot At Goal (1),1169633,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 1,International Polo Club,2020,,Joaquin Panelo,,,,55;29,Attacking 30,,,,,,,,Shot At Goal,Wide,,,,,
Knock In (1),1219566,40000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,Knock In,Facundo Obregon,,,,,,,,,,,,,,,,,,,
Foul (2),1220433,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 1,International Polo Club,2020,,Mariano Obregon,,Foul,Penalty 5B,54;52,Attacking 60,Crossing,56;276,120;227,,,,,,,,,,,
Foul Received (2),1220433,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Facundo Obregon,,Foul Received,Penalty 5B,95;239,Defending 60,Crossing,,,,,,,,,,,,,
Shot At Goal (2),1269633,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Michael Bickford,,,,57;34,Attacking 30,,,,,,,,Shot At Goal,Goal,,,,,
Goal La Indiana (2),1273300,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Michael Bickford,,,,76;6,Attacking 30,,,,,Goal La Indiana,,,,,,,,,
Assist,1284500,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Esteban Panelo,,,,,,,,,,,,,,,,,Esteban Panelo,Successful,
Penalty 5b,1287463,30000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,Penalty 5b,Esteban Panelo,,,,,,,,,,,,,,,,,,,
Throw-in (3),1329000,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 1,International Polo Club,2020,Throw-in,Mariano Obregon,Aliano Realty/Horseware win throw-in,,,,,,,,,,,,,,,,,,
Shot At Goal (3),1438600,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 1,International Polo Club,2020,,Hugo Lloret,,,,76;15,Attacking 30,,,,,,,,Shot At Goal,Goal,,,,,
Goal Aliano Realty/Horseware,1439333,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 1,International Polo Club,2020,,Hugo Lloret,,,,73;7,Attacking 30,,,,,Goal Aliano Realty/Horseware,,,,,Goals,,,,
Throw-in (4),1448213,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 1,International Polo Club,2020,Throw-in,Joaquin Panelo,Aliano Realty/Horseware win throw-in,,,,,,,,,,,,,,,,,,
Assist (1),1454833,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 1,International Polo Club,2020,,Joaquin Panelo,,,,,,,,,,,,,,,,,Joaquin Panelo,Successful,
Foul (3),1491466,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 1,International Polo Club,2020,,Hugo Lloret,,Foul,Penalty 5,102;138,Attacking Half,Reaching,37;131,61;174,,,,,,,,,,,
Foul Received (3),1491466,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Facundo Obregon,,Foul Received,Penalty 5,45;156,Defending Half,Reaching,,,,,,,,,,,,,
Throw-in (5),1494433,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,Throw-in,Jeff Hall,La Indiana win throw-in,,,,,,,,,,,,,,,,,,
Penalty 5,1544500,30000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,Penalty 5,Esteban Panelo,,,,,,,,,,,,,,,,,,,
Non Call,1585366,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Team,Chukka 1,International Polo Club,2020,,,,Non Call,,,,Dangerous Riding,,,,,,,,,,,,,
Foul (4),1607033,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 1,International Polo Club,2020,,Mariano Obregon,,Foul,Penalty 40 yards,39;163,Defending Half,Crossing,93;170,41;113,,,,,,,,,,,
Foul Received (4),1607033,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 1,International Polo Club,2020,,Jeff Hall,,Foul Received,Penalty 40 yards,109;134,Attacking Half,Crossing,,,,,,,,,,,,,
Goal La Indiana (3),1804500,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 2,International Polo Club,2020,,Facundo Obregon,,,,,,,,,,Goal La Indiana,,,,,,,,,
Penalty 40 yards,1821733,15000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 2,International Polo Club,2020,,Facundo Obregon,,,,,,,,,,,Penalty 40 yards,Goal,,,,,,,
Chukka Length (1),1830266,615894,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Team,Chukka 2,International Polo Club,2020,,,,,,,,,,,Chukka Length,,,,,,,,,,
Throw-in (6),1858266,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 2,International Polo Club,2020,Throw-in,Hugo Lloret,Aliano Realty/Horseware win throw-in,,,,,,,,,,,,,,,,,,
Shot At Goal (4),1882633,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 2,International Polo Club,2020,,Mariano Obregon,,,,89;75,Attacking 60,,,,,,,,Shot At Goal,Wide,,,,,
Knock In (2),1938466,40000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 2,International Polo Club,2020,Knock In,Esteban Panelo,,,,,,,,,,,,,,,,Facundo Obregon,,,
Shot At Goal (5),1952933,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 2,International Polo Club,2020,,Facundo Obregon,,,,102;94,Attacking Half,,,,,,,,Shot At Goal,Goal,,,,,
Goal La Indiana (4),1959066,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 2,International Polo Club,2020,,Facundo Obregon,,,,71;4,Attacking 30,,,,,Goal La Indiana,,,,,Goals,,,,
Foul (5),2011433,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 2,International Polo Club,2020,,Facundo Obregon,,Foul,Penalty 5,11;165,Defending Half,Right of Way,29;131,116;135,,,,,,,,,,,
Foul Received (5),2011433,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 2,International Polo Club,2020,,Mariano Obregon,,Foul Received,Penalty 5,131;134,Attacking Half,Right of Way,,,,,,,,,,,,,
Throw-in (7),2014900,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 2,International Polo Club,2020,Throw-in,Facundo Obregon,La Indiana win throw-in,,,,,,,,,,,,,,,,,,
Penalty 5 (1),2045333,30000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 2,International Polo Club,2020,Penalty 5,Joaquin Panelo,,,,,,,,,,,,,,,,,,,
Foul (6),2047600,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 2,International Polo Club,2020,,Joaquin Panelo,,Foul,Penalty 5,121;104,Attacking Half,Improper Procedure,116;127,76;159,,,,,,,,,,,
Foul Received (6),2047600,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 2,International Polo Club,2020,,Joaquin Panelo,,Foul Received,Penalty 5,18;197,Defending Half,Improper Procedure,,,,,,,,,,,,,
Penalty 5 (2),2093733,30000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 2,International Polo Club,2020,Penalty 5,Esteban Panelo,,,,,,,,,,,,,,,,,,,
Shot At Goal (6),2110133,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 2,International Polo Club,2020,,Michael Bickford,,,,76;26,Attacking 30,,,,,,,,Shot At Goal,Goal,,,,,
Goal La Indiana (5),2113933,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 2,International Polo Club,2020,,Michael Bickford,,,,76;6,Attacking 30,,,,,Goal La Indiana,,,,,,,,,
Assist (2),2128933,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 2,International Polo Club,2020,,Jeff Hall,,,,,,,,,,,,,,,,,Jeff Hall,Successful,
Shot At Goal (7),2229266,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 2,International Polo Club,2020,,Jeff Hall,,,,97;17,Attacking 30,,,,,,,,Shot At Goal,Goal,,,,,
Goal La Indiana (6),2229800,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 2,International Polo Club,2020,,Jeff Hall,,,,76;3,Attacking 30,,,,,Goal La Indiana,,,,,Goals,,,,
Throw-in (8),2240200,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 2,International Polo Club,2020,Throw-in,Michael Bickford,La Indiana win throw-in,,,,,,,,,,,,,,,,,,
Assist (3),2248033,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 2,International Polo Club,2020,,Michael Bickford,,,,,,,,,,,,,,,,,Michael Bickford,Successful,
Shot At Goal (9),2273400,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 2,International Polo Club,2020,,Esteban Panelo,,,,64;40,Attacking 60,,,,,,,,Shot At Goal,Miss Hit,,,,,
Shot At Goal (8),2276700,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 2,International Polo Club,2020,,Esteban Panelo,,,,108;15,Attacking 30,,,,,,,,Shot At Goal,Wide,,,,,
Throw-in (9),2288200,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 2,International Polo Club,2020,Throw-in,Esteban Panelo,La Indiana win throw-in,,,,,,,,,,,,,,,,,,
Knock In (3),2320166,40000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 2,International Polo Club,2020,Knock In,Joaquin Panelo,,,,,,,,,,,,,,,,Mariano Obregon,,,
Shot At Goal (10),2320766,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 2,International Polo Club,2020,,Mariano Obregon,,,,88;45,Attacking 60,,,,,,,,Shot At Goal,Goal,,,,,
Goal Aliano Realty/Horseware (1),2323366,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 2,International Polo Club,2020,,Mariano Obregon,,,,72;6,Attacking 30,,,,,Goal Aliano Realty/Horseware,,,,,Goals,,,,
Assist (4),2338766,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 2,International Polo Club,2020,,Joaquin Panelo,,,,,,,,,,,,,,,,,Joaquin Panelo,Successful,
Shot At Goal (11),2385666,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 2,International Polo Club,2020,,Mariano Obregon,,,,120;45,Attacking 60,,,,,,,,Shot At Goal,Short,,,,,
Throw-in (10),2386966,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 2,International Polo Club,2020,Throw-in,Hugo Lloret,Aliano Realty/Horseware win throw-in,,,,,,,,,,,,,,,,,,
Shot At Goal (12),2646200,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 3,International Polo Club,2020,,Mariano Obregon,,,,79;8,Attacking 30,,,,,,,,Shot At Goal,Goal,,,,,
Goal Aliano Realty/Horseware (2),2647433,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 3,International Polo Club,2020,,Mariano Obregon,,,,78;8,Attacking 30,,,,,Goal Aliano Realty/Horseware,,,,,,,,,
Throw-in (11),2660333,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 3,International Polo Club,2020,Throw-in,Mariano Obregon,Aliano Realty/Horseware win throw-in,,,,,,,,,,,,,,,,,,
Chukka Length (3),2664866,565000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Team,Chukka 3,International Polo Club,2020,,,,,,,,,,,Chukka Length,,,,,,,,,,
Shot At Goal (13),2691766,35000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 3,International Polo Club,2020,,Michael Bickford,,,,78;51,Attacking 60,,,,,,,,Shot At Goal,Wide,,,,,
Throw-in (12),2706300,20000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 3,International Polo Club,2020,Throw-in,Esteban Panelo,La Indiana win throw-in,,,,,,,,,,,,,,,,,,
Assist (5),2710266,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 3,International Polo Club,2020,,Esteban Panelo,,,,,,,,,,,,,,,,,Esteban Panelo,Unsuccessful,
Knock In (4),2737366,40000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 3,International Polo Club,2020,Knock In,Joaquin Panelo,,,,,,,,,,,,,,,,,,,
Foul (7),2759366,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,La Indiana,Chukka 3,International Polo Club,2020,,Michael Bickford,,Foul,Penalty 5,25;77,Attacking Half,Turning,10;83,134;39,,,,,,,,,,,
Foul Received (7),2759366,25000,Ylvisaker Cup,Aliano Realty/Horseware vs La Indiana,Group,January 19. 2020,Jamie Mirikitani,Hector Galindo,Julian Appleby,Ronnie Hayes,Search Livestream,Live,Aliano Realty/Horseware,Chukka 3,International Polo Club,2020,,Mariano Obregon,,Foul Received,Penalty 5,132;215,Defending Half,Turning,,,,,,,,,,,,,
