Name,Position,Duration,Umpire 2,Match Date,Umpire 1,Stage,Tournament,Game,Third Umpire,Instant Replay Official,Search Event,Camera Angle,Chukka,Year,Club,Location,General Field Area,Team,Player,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Chukka Length,Set Play,Throw-in Outcome,Shot At Goal,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Penalty Block,Penalties,Penalty Outcome,Collision,Knock-in Player 2
Foul Received (22),6360299,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,53;65,Attacking 60,Postage Stamp Farm,Lerin Zubiaurre,Foul Received,Crossing,Penalty 60 yards,,,,,,,,,,,,,,,,
Goal Postage Stamp Farm (9),6415299,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,75;6,Attacking 30,Postage Stamp Farm,Peke Gonzalez,,,,,,,,,,,Goal Postage Stamp Farm,,,,,,,,
Penalty 60 yards,6433266,15000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,,,Postage Stamp Farm,Peke Gonzalez,,,,,,,,,,,,,,,,Penalty 60 yards,Goal,,
Shot At Goal (1),6452799,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,69;15,Attacking 30,Postage Stamp Farm,Lerin Zubiaurre,,,,,,,,,Shot At Goal,Goal,,,,,,,,,
Goal Postage Stamp Farm (10),6453333,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,72;6,Attacking 30,Postage Stamp Farm,Lerin Zubiaurre,,,,,,,,,,,Goal Postage Stamp Farm,Goals,,,,,,,
Throw-in (23),6464566,20000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,,,Postage Stamp Farm,Annabelle Gundlach,,,,,,,Throw-in,Postage Stamp Farm win throw-in,,,,,,,,,,,
Assist (1),6469233,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,,,Postage Stamp Farm,Annabelle Gundlach,,,,,,,,,,,,,Successful,Annabelle Gundlach,,,,,
Throw-in (24),6510233,20000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,,,Postage Stamp Farm,Lerin Zubiaurre,,,,,,,Throw-in,Postage Stamp Farm win throw-in,,,,,,,,,,,
Shot At Goal (2),6514033,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,78;25,Attacking 30,La Indiana,Santiago Gomez Romero,,,,,,,,,Shot At Goal,Goal,,,,,,,,,
Goal La Indiana (12),6515233,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,71;4,Attacking 30,La Indiana,Santiago Gomez Romero,,,,,,,,,,,Goal La Indiana,,,,,,,,
Throw-in (26),6571333,20000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,,,Postage Stamp Farm,Peke Gonzalez,,,,,,,Throw-in,Postage Stamp Farm win throw-in,,,,,,,,,,,
Foul Received (23),6607300,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,53;285,Defending 30,La Indiana,Jeff Hall,Foul Received,Blocking,Penalty 5B,,,,,,,,,,,,,,,,
Foul (23),6607300,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,93;22,Attacking 30,Postage Stamp Farm,Lerin Zubiaurre,Foul,Blocking,Penalty 5B,50;292,119;247,,,,,,,,,,,,,,
Knock In (7),6609866,40000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,,,La Indiana,Jeff Hall,,,,,,,Knock In,,,,,,,,,,,,
Injury Time (2),6650100,134066,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,,,Team,,,,,,,Injury Time,,,,,,,,,,,,,
Penalty 5b (4),6793733,30000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,,,La Indiana,Jeff Hall,,,,,,,Penalty 5b,,,,,,,,,,,,
Chukka Length (9),6794220,185690,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,,,Team,,,,,,,Chukka Length,,,,,,,,,,,,,
Foul (24),6802800,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,73;98,Attacking Half,La Indiana,Jeff Hall,Foul,Blocking,Penalty 40 yards,121;93,25;98,,,,,,,,,,,,,,
Foul Received (24),6802800,25000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,75;208,Defending Half,Postage Stamp Farm,Peke Gonzalez,Foul Received,Blocking,Penalty 40 yards,,,,,,,,,,,,,,,,
Penalty 40 yards,6884266,15000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,,,Postage Stamp Farm,Peke Gonzalez,,,,,,,,,,,,,,,,Penalty 40 yards,Wide,,
Shot At Goal (19),6901033,35000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,44;47,Attacking 60,La Indiana,Jeff Hall,,,,,,,,,Shot At Goal,Wide,,,,,,,,,
Knock In (8),6907366,40000,Julian Appleby,March 04. 2020,Hector Galindo,Group,USPA Gold Cup,La Indiana vs Postage Stamp Farm,Kevin Fawcett,Jamie Mirikitani,Search Livestream,Live,Chukka 6,2020,International Polo Club,,,La Indiana,Polito Pieres,,,,,,,Knock In,,,,,,,,,,,,Michael Bickford
