Name,Position,Duration,Chukka,Team,Player,Foul,Foul Outcome,Foul Type,Umpire Focal,Umpire Trailing,General Field Area,Location,Goal,Set Play,Throw-in Outcome,Match Date,Umpire 1,Game,Third Umpire,Tournament,Stage,Country,Umpire 2,Search Event,Year,Tournament Handicap,Club,Camera Angle,Instant Replay Official,Shot At Goal,Shot At Goal Outcome,Highlight Reel,Assist,Assist Outcome,Penalties,Penalty Outcome,Knock-in Player 2,Penalty Block,Collision
Handicap Goal Beverly Polo,629233,6000,Chukka 1,Team,,,,,,,,,Handicap Goal Beverly Polo,,,January 17. 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Throw-in,632000,20000,Chukka 1,Beverly Polo,Tolito Ocampo,,,,,,,,,Throw-in,Beverly Polo win throw-in,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Foul,654233,25000,Chukka 1,Beverly Polo,Tolito Ocampo,Foul,Penalty 5,Near Side,93;74,130;125,Attacking Half,119;99,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Foul Received,654233,25000,Chukka 1,Santa Clara,Lucas Escobar,Foul Received,Penalty 5,Near Side,,,Defending Half,18;192,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Penalty 5,684420,30000,Chukka 1,Santa Clara,Matias Magrini,,,,,,,,,Penalty 5,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Foul (1),702133,25000,Chukka 1,Santa Clara,Keko Magrini,Foul,Penalty 5,Right of Way,71;101,13;117,Attacking Half,3;76,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Foul Received (1),702133,25000,Chukka 1,Beverly Polo,Lucas Diaz Alberdi,Foul Received,Penalty 5,Right of Way,,,Defending Half,146;220,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Penalty 5 (1),730233,30000,Chukka 1,Beverly Polo,Hilario Figueras,,,,,,,,,Penalty 5,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Collision,746500,15000,Chukka 1,Beverly Polo,Lucas Diaz Alberdi,,,,,,,,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,Collision
Shot At Goal,1476766,35000,Chukka 1,Beverly Polo,Tolito Ocampo,,,,,,Attacking 30,41;35,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,Shot At Goal,Wide,,,,,,,,
Throw-in (1),1496566,20000,Chukka 1,Beverly Polo,Tolito Ocampo,,,,,,,,,Throw-in,Beverly Polo win throw-in,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Knock In,1520700,40000,Chukka 1,Santa Clara,Matias Magrini,,,,,,,,,Knock In,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Shot At Goal (1),1545433,35000,Chukka 1,Santa Clara,Lucas Escobar,,,,,,Attacking 30,85;33,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,Shot At Goal,Wide,,,,,,,,
Assist,1563566,25000,Chukka 1,Santa Clara,Keko Magrini,,,,,,,,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,Keko Magrini,Unsuccessful,,,,,
Knock In (1),1593954,40000,Chukka 1,Beverly Polo,Hilario Figueras,,,,,,,,,Knock In,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,Tolito Ocampo,,
Shot At Goal (2),1624133,35000,Chukka 1,Santa Clara,Luis Escobar,,,,,,Attacking 60,69;45,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,Shot At Goal,Goal,,,,,,,,
Goal Santa Clara,1627100,35000,Chukka 1,Santa Clara,Luis Escobar,,,,,,Attacking 30,73;3,Goal Santa Clara,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Throw-in (2),1688350,20000,Chukka 1,Beverly Polo,Peke Gonzalez,,,,,,,,,Throw-in,Beverly Polo win throw-in,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Shot At Goal (3),1709400,35000,Chukka 1,Santa Clara,Keko Magrini,,,,,,Attacking 30,76;6,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,Shot At Goal,Goal,,,,,,,,
Goal Santa Clara (1),1710533,35000,Chukka 1,Santa Clara,Keko Magrini,,,,,,Attacking 30,75;2,Goal Santa Clara,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Non Call,1715233,20000,Chukka 1,Team,,Non Call,,Right of Way,,,,,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Throw-in (3),1770333,20000,Chukka 1,Beverly Polo,Tolito Ocampo,,,,,,,,,Throw-in,Beverly Polo win throw-in,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Shot At Goal (4),1772333,35000,Chukka 1,Santa Clara,Luis Escobar,,,,,,Attacking 60,106;53,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,Shot At Goal,Wide,,,,,,,,
Assist (1),1789766,25000,Chukka 1,Santa Clara,Keko Magrini,,,,,,,,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,Keko Magrini,Unsuccessful,,,,,
Knock In (2),1818900,40000,Chukka 1,Beverly Polo,Hilario Figueras,,,,,,,,,Knock In,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Knock In (3),2023300,40000,Chukka 2,Beverly Polo,Hilario Figueras,,,,,,,,,Knock In,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Non Call (1),2026533,20000,Chukka 2,Team,,Non Call,,Right of Way,,,,,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Foul (2),2030533,25000,Chukka 2,Beverly Polo,Peke Gonzalez,Foul,Reversed Call,Riding Into Shot,82;224,115;203,Defending 60,54;226,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Foul Received (2),2030533,25000,Chukka 2,Santa Clara,Keko Magrini,Foul Received,Reversed Call,Riding Into Shot,,,Attacking 60,94;68,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Throw-in (4),2082066,20000,Chukka 2,Beverly Polo,Tolito Ocampo,,,,,,,,,Throw-in,Beverly Polo win throw-in,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Shot At Goal (5),2098333,35000,Chukka 2,Beverly Polo,Tolito Ocampo,,,,,,Attacking Half,144;90,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,Shot At Goal,Wide,,,,,,,,
Non Call (2),2104066,20000,Chukka 2,Team,,Non Call,,Riding Into Shot,,,,,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Knock In (4),2146500,40000,Chukka 2,Santa Clara,Matias Magrini,,,,,,,,,Knock In,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,Lucas Escobar,,
Non Call (3),2191833,20000,Chukka 2,Team,,Non Call,,Dangerous Riding,,,,,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Shot At Goal (6),2207966,35000,Chukka 2,Beverly Polo,Tolito Ocampo,,,,,,Attacking Half,43;79,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,Shot At Goal,Wide,,,,,,,,
Knock In (5),2260200,40000,Chukka 2,Santa Clara,Lucas Escobar,,,,,,,,,Knock In,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,Luis Escobar,,
Non Call (4),2271833,20000,Chukka 2,Team,,Non Call,,Near Side,,,,,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Throw-in (5),2400900,20000,Chukka 2,Santa Clara,Matias Magrini,,,,,,,,,Throw-in,Santa Clara win throw-in,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Foul (3),2423333,25000,Chukka 2,Beverly Polo,Tolito Ocampo,Foul,Penalty 5B,Blocking,50;115,74;135,Attacking Half,6;84,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Foul Received (3),2423333,25000,Chukka 2,Santa Clara,Lucas Escobar,Foul Received,Penalty 5B,Blocking,,,Defending Half,142;217,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Penalty 5b,2481866,30000,Chukka 2,Santa Clara,Matias Magrini,,,,,,,,,Penalty 5b,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Foul (4),2506866,25000,Chukka 2,Santa Clara,Matias Magrini,Foul,Penalty 5,Right of Way,72;186,103;216,Defending Half,123;175,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Foul Received (4),2506866,25000,Chukka 2,Beverly Polo,Tolito Ocampo,Foul Received,Penalty 5,Right of Way,,,Attacking Half,32;130,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Shot At Goal (7),2572400,35000,Chukka 2,Beverly Polo,Tolito Ocampo,,,,,,Attacking Half,73;109,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,Shot At Goal,Wide,,,,,,,,
Penalty 5 (2),2587866,30000,Chukka 2,Beverly Polo,Hilario Figueras,,,,,,,,,Penalty 5,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Assist (2),2589300,25000,Chukka 2,Beverly Polo,Hilario Figueras,,,,,,,,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,Hilario Figueras,Unsuccessful,,,,,
Foul (5),2613800,25000,Chukka 2,Santa Clara,Matias Magrini,Foul,Penalty 60 yards,Blocking,14;253,35;289,Defending 60,28;261,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Foul Received (5),2613800,25000,Chukka 2,Beverly Polo,Peke Gonzalez,Foul Received,Penalty 60 yards,Blocking,,,Attacking 30,126;36,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Knock In (6),2615833,40000,Chukka 2,Santa Clara,Matias Magrini,,,,,,,,,Knock In,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,Luis Escobar,,
Goal Beverly Polo,2661400,35000,Chukka 2,Beverly Polo,Tolito Ocampo,,,,,,Attacking 30,73;2,Goal Beverly Polo,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Penalty 60 yards,2679033,15000,Chukka 2,Beverly Polo,Tolito Ocampo,,,,,,,,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,Penalty 60 yards,Goal,,,
Throw-in (6),2913300,20000,Chukka 3,Beverly Polo,Tolito Ocampo,,,,,,,,,Throw-in,Beverly Polo win throw-in,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Shot At Goal (8),2944866,35000,Chukka 3,Santa Clara,Luis Escobar,,,,,,Attacking 60,140;67,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,Shot At Goal,Wide,,,,,,,,
Assist (3),2960433,25000,Chukka 3,Santa Clara,Lucas Escobar,,,,,,,,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,Lucas Escobar,Unsuccessful,,,,,
Knock In (7),2994100,40000,Chukka 3,Beverly Polo,Hilario Figueras,,,,,,,,,Knock In,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,Peke Gonzalez,,
Shot At Goal (9),3005066,35000,Chukka 3,Santa Clara,Luis Escobar,,,,,,Attacking 30,122;27,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,Shot At Goal,Goal,,,,,,,,
Goal Santa Clara (2),3007533,35000,Chukka 3,Santa Clara,Luis Escobar,,,,,,Attacking 30,73;1,Goal Santa Clara,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,Goals,,,,,,,
Assist (4),3022533,25000,Chukka 3,Santa Clara,Keko Magrini,,,,,,,,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,Keko Magrini,Successful,,,,,
Throw-in (7),3064966,20000,Chukka 3,Beverly Polo,Hilario Figueras,,,,,,,,,Throw-in,Beverly Polo win throw-in,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Shot At Goal (10),3075900,35000,Chukka 3,Beverly Polo,Peke Gonzalez,,,,,,Attacking 30,73;22,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,Shot At Goal,Wide,,,,,,,,
Knock In (8),3125800,40000,Chukka 3,Santa Clara,Matias Magrini,,,,,,,,,Knock In,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,Luis Escobar,,
Foul (6),3151333,25000,Chukka 3,Beverly Polo,Peke Gonzalez,Foul,Penalty 40 yards,1 Meeting 2,57;207,42;257,Defending 60,4;249,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Foul Received (6),3151333,25000,Chukka 3,Santa Clara,Lucas Escobar,Foul Received,Penalty 40 yards,1 Meeting 2,,,Attacking 60,146;47,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Goal Santa Clara (3),3244933,35000,Chukka 3,Santa Clara,Lucas Escobar,,,,,,Attacking 30,73;2,Goal Santa Clara,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,,,,,
Penalty 40 yards,3263500,15000,Chukka 3,Santa Clara,Lucas Escobar,,,,,,,,,,,January 17 2021,Hector Galindo,Beverly Polo vs Santa Clara,Steve Dalton,Joe Barry Memorial,Final,USA,Horton Schwartz,Search Livestream,2021,18,International Polo Club Palm Beach,Live,Unknown,,,,,,Penalty 40 yards,Goal,,,
