Name,Position,Duration,Club,Umpire 1,Third Umpire,Search Event,Camera Angle,Match Date,Chukka,Set Play,Game,Stage,Umpire 2,Instant Replay Official,Tournament,Throw-in Outcome,Team,Player,Year,Chukka Length,Shot At Goal,Shot At Goal Outcome,Location,General Field Area,Goal,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Knock-in Player 2,Assist Outcome,Assist,Highlight Reel,Penalties,Penalty Outcome,Collision,Penalty Block
Throw-in,424100,20000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,Throw-in,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,Daily Racing Farm win throw-in,Daily Racing Form,Jared Zenni,2020,,,,,,,,,,,,,,,,,,,
Game Length,427633,6855433,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Team,,2020,Chukka Length,,,,,,,,,,,,,,,,,,
Chukka Length,428300,211961,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Team,,2020,Chukka Length,,,,,,,,,,,,,,,,,,
Shot At Goal,476800,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,Shot At Goal,Goal,61;59,Attacking 60,,,,,,,,,,,,,,
Goal Daily Racing Farm,480333,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,,,Goal Daily Racing Farm,,,,,,,,,,,,,
Foul,531800,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santiago Wulff,2020,,,,128;130,Attacking Half,,Foul,Dangerous Riding,Penalty 5,70;124,131;168,,,,,,,,
Foul Received,531800,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Jared Zenni,2020,,,,28;163,Defending Half,,Foul Received,Dangerous Riding,Penalty 5,,,,,,,,,,
Throw-in (1),538233,20000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,Throw-in,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,Daily Racing Farm win throw-in,Daily Racing Form,Jared Zenni,2020,,,,,,,,,,,,,,,,,,,
Penalty 5,577666,30000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,Penalty 5,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,,,,,,,,,,,,,,,,
Foul (1),595166,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Joaquin Avendano,2020,,,,122;118,Attacking Half,,Foul,Right of Way,Penalty 5,134;158,71;181,,,,,,,,
Foul Received (1),595166,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Jared Zenni,2020,,,,29;186,Defending Half,,Foul Received,Right of Way,Penalty 5,,,,,,,,,,
Injury Time,640261,123372,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Team,,2020,Injury Time,,,,,,,,,,,,,,,,,,
Penalty 5 (1),761566,30000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,Penalty 5,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,,,,,,,,,,,,,,,,
Chukka Length (1),763633,372394,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Team,,2020,Chukka Length,,,,,,,,,,,,,,,,,,
Non Call,770866,20000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Team,Hope Arellano,2020,,,,,,,Non Call,Blocking,,,,,,,,,,,
Foul (2),787700,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Agustin Obregon,2020,,,,76;57,Attacking 60,,Foul,Near Side,Penalty 5B,88;89,30;70,,,,,,,,
Foul Received (2),787700,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Tomas Garcia Del Rio,2020,,,,75;239,Defending 60,,Foul Received,Near Side,Penalty 5B,,,,,,,,,,
Shot At Goal (1),844533,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Tomas Garcia Del Rio,2020,,Shot At Goal,Wide,73;94,Attacking Half,,,,,,,,,,,,,,
Penalty 5b,855066,30000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,Penalty 5b,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Tomas Garcia Del Rio,2020,,,,,,,,,,,,,,,,,,,
Knock In,895100,40000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,Knock In,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,,,,,,,,,Agustin Obregon,,,,,,,
Shot At Goal (2),913300,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santiago Wulff,2020,,Shot At Goal,Wide,95;47,Attacking 60,,,,,,,,,,,,,,
Shot At Goal (3),955566,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santiago Wulff,2020,,Shot At Goal,Wide,146;25,Attacking 30,,,,,,,,,,,,,,
Knock In (1),962466,40000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,Knock In,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,,,,,,,,,Jared Zenni,,,,,,,
Assist,972000,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Tomas Garcia Del Rio,2020,,,,,,,,,,,,,Unsuccessful,Tomas Garcia Del Rio,,,,,
Knock In (2),1007648,40000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,Knock In,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,,,,,,,,,Jared Zenni,,,,,,,
Shot At Goal (4),1061966,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Hope Arellano,2020,,Shot At Goal,Goal,78;25,Attacking 30,,,,,,,,,,,,,,
Goal Daily Racing Farm (1),1063566,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 1,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Hope Arellano,2020,,,,,,Goal Daily Racing Farm,,,,,,,,,Goals,,,,
Throw-in (2),1308033,20000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 2,Throw-in,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,Daily Racing Farm win throw-in,Daily Racing Form,Agustin Obregon,2020,,,,,,,,,,,,,,,,,,,
Chukka Length (2),1312333,473333,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 2,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Team,,2020,Chukka Length,,,,,,,,,,,,,,,,,,
Foul (3),1352166,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 2,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Benjamin Avendano,2020,,,,91;272,Defending 30,,Foul,Riding Into Shot,Penalty 30 yards,16;236,123;254,,,,,,,,
Foul Received (3),1352166,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 2,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,67;29,Attacking 30,,Foul Received,Riding Into Shot,Penalty 30 yards,,,,,,,,,,
Goal Daily Racing Farm (2),1384733,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 2,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Jared Zenni,2020,,,,,,Goal Daily Racing Farm,,,,,,,,,,,,,
Penalty 30 yards,1401766,15000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 2,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Jared Zenni,2020,,,,,,,,,,,,,,,,Penalty 30 yards,Goal,,
Throw-in (3),1442566,20000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 2,Throw-in,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,Patagones win throw-in,Patagones,Tomas Garcia Del Rio,2020,,,,,,,,,,,,,,,,,,,
Foul (4),1478200,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 2,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,3;133,Attacking Half,,Foul,Cross/High Hook,Penalty 60 yards,71;102,3;117,,,,,,,,
Foul Received (4),1478200,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 2,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Santiago Wulff,2020,,,,146;133,Attacking Half,,Foul Received,Cross/High Hook,Penalty 60 yards,,,,,,,,,,
Penalty 60 yards,1573966,15000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 2,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Tomas Garcia Del Rio,2020,,,,,,,,,,,,,,,,Penalty 60 yards,Wide,,
Foul (5),1598800,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 2,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Jared Zenni,2020,,,,131;277,Defending 30,,Foul,Right of Way,Penalty 60 yards,105;272,37;229,,,,,,,,
Foul Received (5),1598800,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 2,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Benjamin Avendano,2020,,,,37;22,Attacking 30,,Foul Received,Right of Way,Penalty 60 yards,,,,,,,,,,
Knock In (3),1602300,40000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 2,Knock In,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,,,,,,,,,Jared Zenni,,,,,,,
Penalty 60 yards (1),1665195,15000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 2,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Tomas Garcia Del Rio,2020,,,,,,,,,,,,,,,,Penalty 60 yards,Wide,,
Knock In (4),1688333,40000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 2,Knock In,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,,,,,,,,,Jared Zenni,,,,,,,
Shot At Goal (5),1715166,35000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 2,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Joaquin Avendano,2020,,Shot At Goal,Wide,8;68,Attacking 60,,,,,,,,,,,,,,
Assist (1),1732666,25000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 2,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Patagones,Tomas Garcia Del Rio,2020,,,,,,,,,,,,,Unsuccessful,Tomas Garcia Del Rio,,,,,
Knock In (5),1767900,40000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 2,Knock In,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,,,,,,,,,Jared Zenni,,,,,,,
Collision,1779366,15000,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 2,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Daily Racing Form,Tommy Collingwood,2020,,,,,,,,,,,,,,,,,,Collision,
Injury Time (1),1785666,194200,International Polo Club,George Olivas,Horton Schwartz,Search LiveStream,Live,January 26. 2020,Chukka 2,,Daily Racing Form vs Patagones,Group,Jamie Mirikitani,Kevin Fawcett,Ylvisaker Cup,,Team,,2020,Injury Time,,,,,,,,,,,,,,,,,,
