Name,Position,Duration,Chukka,Set Play,Match Date,Umpire 2,Third Umpire,Camera Angle,Search Event,Club,Tournament,Game,Stage,Umpire 1,Instant Replay Official,Year,Throw-in Outcome,Team,Player,Foul,Foul Type,General Field Area,Location,Foul Outcome,Umpire Focal,Umpire Trailing,Shot At Goal,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Penalties,Penalty Outcome,Knock-in Player 2,Chukka Length
Shot At Goal (1),580866,35000,Chukka 1,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Mackenzie Weisz,,,Attacking 30,109;11,,,,Shot At Goal,Wide,,,,,,,,
Knock In,628133,40000,Chukka 1,Knock In,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Santiago Toccalino,,,,,,,,,,,,,,,,Tomas Garcia del Rio,
Foul (2),680266,25000,Chukka 1,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Geronimo Obregon,Foul,Blocking,Defending 60,22;244,Penalty 30 yards,99;245,34;181,,,,,,,,,,
Foul Received (2),680266,25000,Chukka 1,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,Foul Received,Blocking,Attacking 60,135;57,Penalty 30 yards,,,,,,,,,,,,
Penalty 30 yards (1),721500,15000,Chukka 1,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Mackenzie Weisz,,,,,,,,,,,,,,Penalty 30 yards,Goal,,
Goal Las Monjitas (1),704966,35000,Chukka 1,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Mackenzie Weisz,,,,,,,,,,Goal Las Monjitas,,,,,,,
Throw-in (3),766600,20000,Chukka 1,Throw-in,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,Patagones win throw-in,Patagones,Geronimo Obregon,,,,,,,,,,,,,,,,,
Shot At Goal (2),794000,35000,Chukka 1,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,,,Attacking 60,95;51,,,,Shot At Goal,Wide,,,,,,,,
Assist (1),809700,25000,Chukka 1,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Francisco Elizalde,,,,,,,,,,,,Unsuccessful,Francisco Elizalde,,,,
Knock In (1),843700,40000,Chukka 1,Knock In,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,,,,,,,,,,,,,,Santiago Toccalino,
