Name,Position,Duration,Chukka,Set Play,Match Date,Umpire 2,Third Umpire,Camera Angle,Search Event,Club,Tournament,Game,Stage,Umpire 1,Instant Replay Official,Year,Throw-in Outcome,Team,Player,Foul,Foul Type,General Field Area,Location,Foul Outcome,Umpire Focal,Umpire Trailing,Shot At Goal,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Penalties,Penalty Outcome,Knock-in Player 2,Chukka Length
Shot At Goal (16),3072333,35000,Chukka 4,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Mackenzie Weisz,,,Attacking 60,126;66,,,,Shot At Goal,Wide,,,,,,,,
Knock In (7),3153100,40000,Chukka 4,Knock In,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,,,,,,,,,,,,,,Santiago Toccalino,
Shot At Goal (17),3208500,35000,Chukka 4,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Francisco Elizalde,,,Attacking 30,16;22,,,,Shot At Goal,Goal,,,,,,,,
Goal Las Monjitas (7),3213033,35000,Chukka 4,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Francisco Elizalde,,,,,,,,,,Goal Las Monjitas,Goals,,,,,,
Assist (10),3228033,25000,Chukka 4,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,,,,,,,,,,,,Successful,David Stirling,,,,
Throw-in (12),3278866,20000,Chukka 4,Throw-in,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,Las Monjitas win throw-in,Las Monjitas,Mackenzie Weisz,,,,,,,,,,,,,,,,,
Non Call (3),3306366,20000,Chukka 4,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Team,,Non Call,Riding Into Shot,,,,,,,,,,,,,,,
Shot At Goal (18),3305233,35000,Chukka 4,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Francisco Elizalde,,,Attacking 60,91;61,,,,Shot At Goal,Wide,,,,,,,,
Assist (11),3320233,25000,Chukka 4,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,,,,,,,,,,,,Unsuccessful,David Stirling,,,,
Knock In (8),3352033,40000,Chukka 4,Knock In,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Santiago Toccalino,,,,,,,,,,,,,,,,,
Foul (6),3436166,25000,Chukka 4,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Mackenzie Weisz,Foul,Blocking,Attacking Half,87;111,Penalty 5B,23;71,135;134,,,,,,,,,,
Foul Received (5),3436166,25000,Chukka 4,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Geronimo Obregon,Foul Received,Blocking,Defending Half,43;174,Penalty 5B,,,,,,,,,,,,
Penalty 5b (1),3502066,30000,Chukka 4,Penalty 5b,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,,,,,,,,,,,,,,,
Chukka Length (4),3035833,548066,Chukka 4,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Team,,,,,,,,,,,,,,,,,,Chukka Length
Throw-in (13),3819400,20000,Chukka 5,Throw-in,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,Patagones win throw-in,Patagones,Tomas Garcia del Rio,,,,,,,,,,,,,,,,,
Shot At Goal (19),3833366,35000,Chukka 5,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,Attacking 30,66;11,,,,Shot At Goal,Goal,,,,,,,,
Goal Patagones (4),3834633,35000,Chukka 5,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,,,,,,,,Goal Patagones,,,,,,,
Throw-in (14),3893266,20000,Chukka 5,Throw-in,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,Las Monjitas win throw-in,Las Monjitas,Francisco Elizalde,,,,,,,,,,,,,,,,,
Shot At Goal (20),3899933,35000,Chukka 5,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Geronimo Obregon,,,Attacking 60,132;61,,,,Shot At Goal,Miss Hit,,,,,,,,
Assist (12),3917666,25000,Chukka 5,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Santiago Toccalino,,,,,,,,,,,,Unsuccessful,Santiago Toccalino,,,,
Foul (7),3929000,25000,Chukka 5,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,Foul,Riding Into Shot,Attacking 30,103;27,Penalty 5,26;43,121;107,,,,,,,,,,
Foul Received (6),3929000,25000,Chukka 5,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,Foul Received,Riding Into Shot,Defending 30,49;274,Penalty 5,,,,,,,,,,,,
Penalty 5 (2),3973766,30000,Chukka 5,Penalty 5,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,,,,,,,,,,,,,,,,,
Shot At Goal (21),3991833,35000,Chukka 5,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Santiago Toccalino,,,Attacking Half,68;94,,,,Shot At Goal,Wide,,,,,,,,
Knock In (9),4037700,40000,Chukka 5,Knock In,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,,,,,,,,,,,,,,,,,
Non Call (4),4048666,20000,Chukka 5,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Team,,Non Call,Turning,,,,,,,,,,,,,,,
Shot At Goal (22),4107283,35000,Chukka 5,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Mackenzie Weisz,,,Attacking 60,64;51,,,,Shot At Goal,Goal,,,,,,,,
Goal Las Monjitas (8),4108800,35000,Chukka 5,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Mackenzie Weisz,,,,,,,,,,Goal Las Monjitas,,,,,,,
Injury Time (1),4168933,66533,Chukka 5,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Team,,,,,,,,,,,,,,,,,,Injury Time
Throw-in (15),4230833,20000,Chukka 5,Throw-in,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,Patagones win throw-in,Patagones,Tomas Garcia del Rio,,,,,,,,,,,,,,,,,
Shot At Goal (23),4305795,35000,Chukka 5,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,Attacking 30,141;20,,,,Shot At Goal,Post,,,,,,,,
Shot At Goal (24),4310566,35000,Chukka 5,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Geronimo Obregon,,,Attacking 30,69;7,,,,Shot At Goal,Goal,,,,,,,,
Goal Patagones (5),4311233,35000,Chukka 5,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Geronimo Obregon,,,,,,,,,,Goal Patagones,,,,,,,
Chukka Length (5),3824033,345366,Chukka 5,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Team,,,,,,,,,,,,,,,,,,Chukka Length
Chukka Length (6),4235733,139966,Chukka 5,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Team,,,,,,,,,,,,,,,,,,Chukka Length
Throw-in (16),4575166,20000,Chukka 6,Throw-in,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,Patagones win throw-in,Patagones,Geronimo Obregon,,,,,,,,,,,,,,,,,
Foul (8),4586466,25000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Mackenzie Weisz,Foul,Reaching,Defending Half,21;208,Penalty 40 yards,138;229,35;171,,,,,,,,,,
Foul Received (7),4586466,25000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,Foul Received,Reaching,Attacking Half,132;84,Penalty 40 yards,,,,,,,,,,,,
Penalty 40 yards (1),4648313,15000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,,,,,,,,,,,,Penalty 40 yards,Goal,,
Goal Patagones (6),4630300,35000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,,,,,,,,Goal Patagones,,,,,,,
Throw-in (17),4687700,20000,Chukka 6,Throw-in,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,Patagones win throw-in,Patagones,Santiago Toccalino,,,,,,,,,,,,,,,,,
Shot At Goal (25),4666600,35000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Santiago Toccalino,,,Attacking Half,77;131,,,,Shot At Goal,Short,,,,,,,,
Foul (9),4710200,25000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,Foul,Blocking,Defending Half,76;215,Penalty 60 yards,137;253,19;230,,,,,,,,,,
Foul Received (8),4710200,25000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Geronimo Obregon,Foul Received,Blocking,Attacking Half,72;93,Penalty 60 yards,137;256,21;229,,,,,,,,,,
Penalty 60 yards,4846942,15000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,,,,,,,,,,,,Penalty 60 yards,Wide,,
Knock In (10),4867166,40000,Chukka 6,Knock In,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,,,,,,,,,,,,,,,,Francisco Elizalde,
Shot At Goal (26),4870833,35000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,,,Attacking 30,69;18,,,,Shot At Goal,Goal,,,,,,,,
Goal Las Monjitas (9),4871566,35000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,,,,,,,,,,Goal Las Monjitas,,,,,,,
Assist (13),4886566,25000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Francisco Elizalde,,,,,,,,,,,,Successful,Francisco Elizalde,,,,
Throw-in (18),4932166,20000,Chukka 6,Throw-in,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,Patagones win throw-in,Patagones,Santiago Toccalino,,,,,,,,,,,,,,,,,
Shot At Goal (27),4959665,35000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Gonzalo Avendano,,,Attacking 60,92;75,,,,Shot At Goal,Wide,,,,,,,,
Assist (14),4975966,25000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Geronimo Obregon,,,,,,,,,,,,Unsuccessful,Geronimo Obregon,,,,
Knock In (11),5009200,40000,Chukka 6,Knock In,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Mackenzie Weisz,,,,,,,,,,,,,,,,David Stirling,
Shot At Goal (28),5017066,35000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Team,,,,Attacking 30,92;9,,,,Shot At Goal,Miss Hit,,,,,,,,
Assist (15),5035733,25000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Francisco Elizalde,,,,,,,,,,,,Unsuccessful,Francisco Elizalde,,,,
Non Call (5),5033733,20000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Team,,Non Call,Crossing,,,,,,,,,,,,,,,
Shot At Goal (29),5052100,35000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,Attacking 30,79;17,,,,Shot At Goal,Goal,,,,,,,,
Goal Patagones (7),5052900,35000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Tomas Garcia del Rio,,,,,,,,,,Goal Patagones,,,,,,,
Assist (16),5067900,25000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Santiago Toccalino,,,,,,,,,,,,Successful,Santiago Toccalino,,,,
Throw-in (19),5109633,20000,Chukka 6,Throw-in,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,Patagones win throw-in,Patagones,Geronimo Obregon,,,,,,,,,,,,,,,,,
Shot At Goal (30),5103400,35000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Santiago Toccalino,,,Attacking Half,132;89,,,,Shot At Goal,Goal,,,,,,,,
Goal Patagones (8),5107133,35000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Patagones,Santiago Toccalino,,,,,,,,,,Goal Patagones,Goals,,,,,,
Throw-in (20),5159100,20000,Chukka 6,Throw-in,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,Las Monjitas win throw-in,Las Monjitas,Francisco Elizalde,,,,,,,,,,,,,,,,,
Free Hit,5197366,20000,Chukka 6,Free Hit,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,,,,,,,,,,,,,,,,,
Shot At Goal (31),5186133,35000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,Mackenzie Weisz,,,Attacking 30,69;27,,,,Shot At Goal,Miss Hit,,,,,,,,
Assist (17),5203800,25000,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Las Monjitas,David Stirling,,,,,,,,,,,,Unsuccessful,David Stirling,,,,
Chukka Length (7),4579766,648566,Chukka 6,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Team,,,,,,,,,,,,,,,,,,Chukka Length
Game Length,295333,4933390,,,February 19. 2020,Julian Appleby,Kevin Fawcett,Live,Search Livestream,International Polo Club,C.V. Whitney Cup,Las Monjitas vs Patagones,Semi-Final,Hector Galindo,Jamie Mirikitani,2020,,Team,,,,,,,,,,,,,,,,,,Game Length
