Name,Position,Duration,Match Date,Camera Angle,Umpire 1,Tournament,Game,Stage,Third Umpire,Umpire 2,Instant Replay Official,Search Event,Chukka,Year,Shot At Goal,Club,Shot At Goal Outcome,Location,General Field Area,Player,Team,Set Play,Throw-in Outcome,Chukka Length,Penalty Block,Goal,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Assist Outcome,Assist,Knock-in Player 2,Highlight Reel,Collision
Shot At Goal,0,11333,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,Shot At Goal,International Polo Club,Wide,122;106,Attacking Half,Gonzalo Ferrari,Palm Beach Equine,,,,,,,,,,,,,,,,,
Throw-in,0,15000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,,International Polo Club,,,,Gonzalo Ferrari,Palm Beach Equine,Throw-in,Palm Beach Equine win throw-in,,,,,,,,,,,,,,,
Chukka Length,0,567850,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,,International Polo Club,,,,,Team,,,Chukka Length,,,,,,,,,,,,,,
Game Length,0,5641800,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,,2020,,International Polo Club,,,,,Team,,,Game Length,,,,,,,,,,,,,,
Knock In,22400,40000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,,International Polo Club,,,,Esteban Panelo,La Indiana,Knock In,,,,,,,,,,,,,,,,
Shot At Goal (1),25147,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,Shot At Goal,International Polo Club,Blocked,80;21,Attacking 30,Jeff Hall,La Indiana,,,,,,,,,,,,,,,,,
Shot Block,51366,10000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,,International Polo Club,,,,Gonzalo Ferrari,Palm Beach Equine,,,,Shot Block,,,,,,,,,,,,,
Knock In (1),93600,40000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,,International Polo Club,,,,Gringo Colombres,Palm Beach Equine,Knock In,,,,,,,,,,,,,,,,
Shot At Goal (2),105166,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,Shot At Goal,International Polo Club,Goal,94;39,Attacking 60,Gringo Colombres,Palm Beach Equine,,,,,,,,,,,,,,,,,
Goal Palm Beach Equine,108100,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,,International Polo Club,,,,Gringo Colombres,Palm Beach Equine,,,,,Goal Palm Beach Equine,,,,,,,,,,,,
Throw-in (1),164033,20000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,,International Polo Club,,,,Lucas Diaz Alberdi,Palm Beach Equine,Throw-in,Palm Beach Equine win throw-in,,,,,,,,,,,,,,,
Foul,187266,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,,International Polo Club,,86;242,Defending 60,Jeff Hall,La Indiana,,,,,,Foul,Right of Way,Penalty 30 yards,71;171,138;226,,,,,,,
Foul Received,187266,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,,International Polo Club,,65;66,Attacking 60,Lucas Diaz Alberdi,Palm Beach Equine,,,,,,Foul Received,Right of Way,Penalty 30 yards,,,,,,,,,
Goal Palm Beach Equine (1),235933,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,,International Polo Club,,,,Gonzalo Ferrari,Palm Beach Equine,,,,,Goal Palm Beach Equine,,,,,,,,,,,,
Penalty 30 yards,252881,15000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,,International Polo Club,,,,Gonzalo Ferrari,Palm Beach Equine,,,,,,,,,,,Penalty 30 yards,Goal,,,,,
Throw-in (2),288733,20000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,,International Polo Club,,,,Gonzalo Ferrari,Palm Beach Equine,Throw-in,Palm Beach Equine win throw-in,,,,,,,,,,,,,,,
Non Call,334700,20000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,,International Polo Club,,,,,Team,,,,,,Non Call,Crossing,,,,,,,,,,
Foul Received (1),390166,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,,International Polo Club,,123;22,Attacking 30,Esteban Panelo,La Indiana,,,,,,Foul Received,Right of Way,Penalty 40 yards,,,,,,,,,
Foul (1),390166,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,,International Polo Club,,29;283,Defending 30,Gringo Colombres,Palm Beach Equine,,,,,,Foul,Right of Way,Penalty 40 yards,2;231,49;180,,,,,,,
Goal La Indiana,435133,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,,International Polo Club,,,,Facundo Obregon,La Indiana,,,,,Goal La Indiana,,,,,,,,,,,,
Penalty 40 yards,452144,15000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,,International Polo Club,,,,Facundo Obregon,La Indiana,,,,,,,,,,,Penalty 40 yards,Goal,,,,,
Throw-in (3),485266,20000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,,International Polo Club,,,,Gonzalo Ferrari,Palm Beach Equine,Throw-in,Palm Beach Equine win throw-in,,,,,,,,,,,,,,,
Shot At Goal (3),486733,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,Shot At Goal,International Polo Club,Miss Hit,79;25,Attacking 30,Esteban Panelo,La Indiana,,,,,,,,,,,,,,,,,
Assist,501733,25000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,,International Polo Club,,,,Facundo Obregon,La Indiana,,,,,,,,,,,,,Unsuccessful,Facundo Obregon,,,
Shot At Goal (4),520466,35000,January 25.2020,Live,Kimo Huddleston,Ylvisaker Cup,La Indiana vs Palm Beach Equine,Group,Julian Appleby,Hector Galindo,Darrell Schwetz,Search LiveStream,Chukka 1,2020,Shot At Goal,International Polo Club,Goal,78;18,Attacking 30,Jeff Hall,La Indiana,,,,,,,,,,,,,,,,,
