Name,Position,Duration,Game,Stage,Third Umpire,Instant Replay Official,Umpire 2,Match Date,Umpire 1,Search Event,Camera Angle,Club,Year,Tournament,Set Play,Chukka,Throw-in Outcome,Player,Team,Chukka Length,Foul,Location,General Field Area,Foul Outcome,Foul Type,Umpire Trailing,Umpire Focal,Knock-in Player 2,Shot At Goal,Shot At Goal Outcome,Penalty Block,Goal,Highlight Reel,Assist Outcome,Assist,Penalties,Penalty Outcome
Goal Old Hickory Bourbon (1),1066233,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 2,,Miguel N. Astrada,Old Hickory Bourbon,,,79;8,Attacking 30,,,,,,,,,Goal Old Hickory Bourbon,,,,,
Assist (2),1081533,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 2,,Stephen Orthwein,Old Hickory Bourbon,,,,,,,,,,,,,,,Successful,Stephen Orthwein,,
Shot At Goal (7),1118500,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 2,,Victorino Ruiz Jorba,Old Hickory Bourbon,,,88;25,Attacking 30,,,,,,Shot At Goal,Goal,,,,,,,
Goal Old Hickory Bourbon (2),1119533,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 2,,Victorino Ruiz Jorba,Old Hickory Bourbon,,,73;7,Attacking 30,,,,,,,,,Goal Old Hickory Bourbon,,,,,
Throw-in (3),1121133,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Throw-in,Chukka 2,Old Hickory Bourbon win throw-in,Miguel N. Astrada,Old Hickory Bourbon,,,,,,,,,,,,,,,,,,
Assist (3),1135166,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 2,,Miguel N. Astrada,Old Hickory Bourbon,,,,,,,,,,,,,,,Successful,Miguel N. Astrada,,
Shot At Goal (8),1160433,35000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 2,,Will Johnston,Old Hickory Bourbon,,,53;39,Attacking 60,,,,,,Shot At Goal,Wide,,,,,,,
Throw-in (4),1175966,20000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Throw-in,Chukka 2,Old Hickory Bourbon win throw-in,Miguel N. Astrada,Old Hickory Bourbon,,,,,,,,,,,,,,,,,,
Knock In (3),1209533,40000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,Knock In,Chukka 2,,Tomas Garcia Del Rio,Patagones,,,,,,,,,Santiago Toccalino,,,,,,,,,
Foul (2),1238833,25000,Old Hickory Bourbon vs Patagones,Group,Unknown,Unknown,Unknown,February 10. 2020,Unknown,Search Livestream,Live,International Polo Club,2020,C.V. Whitney Cup,,Chukka 2,,Stephen Orthwein,Old Hickory Bourbon,,Foul,53;271,Defending 30,Penalty 30 yards,Dangerous Riding,98;216,14;177,,,,,,,,,,
