Name,Position,Duration,Search Event,Camera Angle,Year,Chukka,Shot At Goal,Shot At Goal Outcome,Location,General Field Area,Player,Team,Game,Club,Instant Replay Official,Match Date,Stage,Third Umpire,Tournament,Umpire 1,Umpire 2,Goal,Highlight Reel,Set Play,Throw-in Outcome,Chukka Length,Assist Outcome,Assist,Foul,Foul Type,Foul Outcome,Umpire Focal,Umpire Trailing,Penalties,Penalty Outcome,Knock-in Player 2,Penalty Block,Collision
Throw-in (18),5657524,20000,Search Livestream,Live`,2020,Chukka 6,,,,,Henry Porter,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Throw-in,Stable Door Polo win throw-in,,,,,,,,,,,,,
Knock In (15),5689166,40000,Search Livestream,Live`,2020,Chukka 6,,,,,Jeff Hall,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Knock In,,,,,,,,,,,,Espeban Panelo,,
Foul (17),5698100,25000,Search Livestream,Live`,2020,Chukka 6,,,143;194,Defending Half,Jeff Hall,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul,Riding Into Shot,Penalty 40 yards,124;179,54;230,,,,,
Foul Received (17),5698100,25000,Search Livestream,Live`,2020,Chukka 6,,,17;115,Attacking Half,Sterling Giannico,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul Received,Riding Into Shot,Penalty 40 yards,,,,,,,
Penalty 40 yards (1),5754566,15000,Search Livestream,Live`,2020,Chukka 6,,,,,Matias Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,Penalty 40 yards,Wide,,,
Knock In (16),5781600,40000,Search Livestream,Live`,2020,Chukka 6,,,,,Sterling Giannico,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Knock In,,,,,,,,,,,,Facundo Obregon,,
Foul (18),5793966,25000,Search Livestream,Live`,2020,Chukka 6,,,7;57,Attacking 60,Matias Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul,Right of Way,Penalty 5,26;118,87;48,,,,,
Foul Received (18),5793966,25000,Search Livestream,Live`,2020,Chukka 6,,,146;254,Defending 60,Sterling Giannico,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul Received,Right of Way,Penalty 5,,,,,,,
Shot At Goal (32),5810300,35000,Search Livestream,Live`,2020,Chukka 6,Shot At Goal,Wide,5;85,Attacking Half,Matias Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,,,,,
Penalty 5 (5),5827983,30000,Search Livestream,Live`,2020,Chukka 6,,,,,Sterling Giannico,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Penalty 5,,,,,,,,,,,,,,
Knock In (17),5856700,40000,Search Livestream,Live`,2020,Chukka 6,,,,,Sterling Giannico,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Knock In,,,,,,,,,,,,Facundo Obregon,,
Foul (19),5893700,25000,Search Livestream,Live`,2020,Chukka 6,,,14;161,Defending Half,Facundo Obregon,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul,Right of Way,Penalty 60 yards,129;79,51;68,,,,,
Foul Received (19),5893700,25000,Search Livestream,Live`,2020,Chukka 6,,,135;130,Attacking Half,Matias Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,Foul Received,Right of Way,Penalty 60 yards,,,,,,,
Penalty 60 yards (6),5957000,15000,Search Livestream,Live`,2020,Chukka 6,,,,,Santino Magrini,Stable Door Polo,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,,,,,,,,,,,Penalty 60 yards,Wide,,,
Knock In (18),5975500,40000,Search Livestream,Live`,2020,Chukka 6,,,,,Sterling Giannico,La Indiana,La Indiana vs Stable Door Polo,International Polo Club,Kevin Fawcett,January 29. 2020,Semi-Finals,Horton Schwartz,Ylvisaker Cup,George Olivas,Hector Galindo,,,Knock In,,,,,,,,,,,,,,
