Name,Position,Duration,Match Date,Game,Tournament,Stage,Umpire 2,Umpire 1,Third Umpire,Search Event,Instant Replay Official,Camera Angle,Club,Set Play,Year,Chukka,Throw-in Outcome,Player,Team,Shot At Goal,Location,General Field Area,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Knock-in Player 2,Penalty Block,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Penalties,Penalty Outcome,Chukka Length
Throw-in (7),1975300,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 2,Tonkawa win throw-in,Sapo Caset,Tonkawa,,,,,,,,,,,,,,,,,,
Shot At Goal (12),1976900,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 2,,Sapo Caset,Tonkawa,Shot At Goal,104;45,Attacking 60,Blocked,,,,,,,,,,,,,,
Shot Block (1),2003133,10000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 2,,Gonzalito Pieres,Pilot,,,,,,,,,,Shot Block,,,,,,,,
Shot At Goal (13),1985466,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 2,,Ignacio Toccalino,Tonkawa,Shot At Goal,89;12,Attacking 30,Goal,,,,,,,,,,,,,,
Goal Tonkawa (3),1986466,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 2,,Ignacio Toccalino,Tonkawa,,71;6,Attacking 30,,Goal Tonkawa,,,,,,,,,,,,,
Throw-in (8),2044033,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 2,Tonkawa win throw-in,Sapo Caset,Tonkawa,,,,,,,,,,,,,,,,,,
Throw-in (9),2321866,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 3,Pilot win throw-in,Lucas Escobar,Pilot,,,,,,,,,,,,,,,,,,
Knock In (7),2351200,40000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Knock In,2020,Chukka 3,,Sapo Caset,Tonkawa,,,,,,,,,Ignacio Toccalino,,,,,,,,,
Foul (3),2382100,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,Lucas Escobar,Pilot,,30;176,Defending Half,,,,,,,,Foul,Dangerous Riding,Penalty 30 yards,87;112,7;142,,,
Foul Received (3),2382100,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,Ignacio Toccalino,Tonkawa,,115;126,Attacking Half,,,,,,,,Foul Received,Dangerous Riding,Penalty 30 yards,,,,,
