Name,Position,Duration,Match Date,Game,Tournament,Stage,Umpire 2,Umpire 1,Third Umpire,Search Event,Instant Replay Official,Camera Angle,Club,Set Play,Year,Chukka,Throw-in Outcome,Player,Team,Shot At Goal,Location,General Field Area,Shot At Goal Outcome,Goal,Highlight Reel,Assist Outcome,Assist,Knock-in Player 2,Penalty Block,Foul,Foul Type,Foul Outcome,Umpire Trailing,Umpire Focal,Penalties,Penalty Outcome,Chukka Length
Throw-in (25),6331100,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 6,Pilot win throw-in,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,,,
Shot At Goal (35),6379633,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Gonzalito Pieres,Pilot,Shot At Goal,87;29,Attacking 30,Blocked,,,,,,,,,,,,,,
Foul (16),6397533,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Ignacio Toccalino,Tonkawa,,56;276,Defending 30,,,,,,,,Foul,Right of Way,Penalty 1,73;253,12;239,,,
Foul Received (16),6397533,25000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,,Team,,86;26,Attacking 30,,,,,,,,Foul Received,Right of Way,Penalty 1,,,,,
Penalty 1,6414700,10000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Gonzalito Pieres,Pilot,,,,,,,,,,,,,,,,Penalty 1,Goal,
Goal Pilot (11),6394666,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Gonzalito Pieres,Pilot,,76;8,Attacking 30,,Goal Pilot,,,,,,,,,,,,,
Penalty 5b,6465800,30000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Penalty 5b,2020,Chukka 6,,Facundo Pieres,Pilot,,,,,,,,,,,,,,,,,,
Shot At Goal (36),6451866,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Facundo Pieres,Pilot,Shot At Goal,87;67,Attacking 60,Wide,,,,,,,,,,,,,,
Knock In (16),6500066,40000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Knock In,2020,Chukka 6,,Ignacio Toccalino,Tonkawa,,,,,,,,,,,,,,,,,,
Shot At Goal (37),6488100,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,Facundo Pieres,Pilot,Shot At Goal,87;75,Attacking 60,Wide,,,,,,,,,,,,,,
Knock In (17),6533633,40000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Knock In,2020,Chukka 6,,Sapo Caset,Tonkawa,,,,,,,,,,,,,,,,,,
Non Call (5),6577566,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,,Team,,,,,,,,,,,Non Call,Right of Way,,,,,,
Throw-in (26),7011333,20000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Throw-in,2020,Chukka 7,Tonkawa win throw-in,Jeff Hildebrand,Tonkawa,,,,,,,,,,,,,,,,,,
Knock In (18),7053366,40000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,Knock In,2020,Chukka 7,,Sapo Caset,Tonkawa,,,,,,,,,,,,,,,,,,
Shot At Goal (38),7116500,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 7,,Facundo Pieres,Pilot,Shot At Goal,29;48,Attacking 60,Goal,,,,,,,,,,,,,,
Goal Pilot (12),7122400,35000,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 7,,Facundo Pieres,Pilot,,76;6,Attacking 30,,Goal Pilot,Goals,,,,,,,,,,,,
Game Length,0,7207561,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,,,,Team,,,,,,,,,,,,,,,,,,Game Length
Chukka Length,844200,573200,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 1,,,Team,,,,,,,,,,,,,,,,,,Chukka Length
Chukka Length (1),1593933,532066,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 2,,,Team,,,,,,,,,,,,,,,,,,Chukka Length
Chukka Length (2),2325433,702766,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 3,,,Team,,,,,,,,,,,,,,,,,,Chukka Length
Chukka Length (3),3970600,440047,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 4,,,Team,,,,,,,,,,,,,,,,,,Chukka Length
Chukka Length (4),4646100,1043364,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 5,,,Team,,,,,,,,,,,,,,,,,,Chukka Length
Chukka Length (5),5881000,757108,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 6,,,Team,,,,,,,,,,,,,,,,,,Chukka Length
Chukka Length (6),7012433,194493,March 01. 2020,Pilot vs Tonkawa,USPA Gold Cup,Group,Ka'aina DeCoite,Hector Galindo,Julian Appleby,Search Livestream,Jamie Mirikitani,Live,International Polo Club,,2020,Chukka 7,,,Team,,,,,,,,,,,,,,,,,,Chukka Length
